Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 395463368k(390005560k free), swap 16318460k(16318460k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=31138512896 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=31138512896 -XX:MaxNewSize=27917287424 -XX:MaxTenuringThreshold=15 -XX:NewSize=27917287424 -XX:ParallelGCThreads=56 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+PrintTenuringDistribution -XX:SurvivorRatio=28 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
9.283: [GC (Allocation Failure) [PSYoungGen: 25448448K->12619K(26355712K)] 25448448K->12722K(29501440K), 0.0156880 secs] [Times: user=0.28 sys=0.01, real=0.01 secs] 
12.534: [GC (System.gc()) [PSYoungGen: 24789638K->8983K(26355712K)] 24789740K->9094K(29501440K), 0.0291890 secs] [Times: user=0.78 sys=0.00, real=0.03 secs] 
12.564: [Full GC (System.gc()) [PSYoungGen: 8983K->0K(26355712K)] [ParOldGen: 110K->8130K(3145728K)] 9094K->8130K(29501440K), [Metaspace: 16774K->16774K(1064960K)], 0.0380011 secs] [Times: user=0.68 sys=0.12, real=0.03 secs] 
19.131: [GC (Allocation Failure) [PSYoungGen: 25448448K->851741K(26355712K)] 25456578K->859887K(29501440K), 0.0730033 secs] [Times: user=3.44 sys=0.00, real=0.08 secs] 
32.708: [GC (Allocation Failure) [PSYoungGen: 26300189K->852878K(26355712K)] 26308335K->861032K(29501440K), 0.0681363 secs] [Times: user=3.21 sys=0.00, real=0.07 secs] 
101.088: [GC (System.gc()) [PSYoungGen: 23871167K->99735K(26355712K)] 23879322K->107897K(29501440K), 0.0257618 secs] [Times: user=0.72 sys=0.01, real=0.03 secs] 
101.114: [Full GC (System.gc()) [PSYoungGen: 99735K->0K(26355712K)] [ParOldGen: 8162K->106074K(3145728K)] 107897K->106074K(29501440K), [Metaspace: 20016K->20012K(1067008K)], 0.0833718 secs] [Times: user=2.36 sys=0.04, real=0.08 secs] 
221.072: [GC (Allocation Failure) [PSYoungGen: 25448448K->903252K(26355712K)] 25554522K->1009334K(29501440K), 0.0837500 secs] [Times: user=4.34 sys=0.00, real=0.09 secs] 
235.006: [GC (Allocation Failure) [PSYoungGen: 26351700K->893349K(26355712K)] 26457782K->999440K(29501440K), 0.0797852 secs] [Times: user=3.83 sys=0.00, real=0.08 secs] 
244.044: [GC (Allocation Failure) [PSYoungGen: 26341797K->902903K(26355712K)] 26447888K->1009001K(29501440K), 0.0743299 secs] [Times: user=3.79 sys=0.00, real=0.07 secs] 
255.337: [GC (Allocation Failure) [PSYoungGen: 26351351K->907236K(26355712K)] 26457449K->1016246K(29501440K), 0.0787677 secs] [Times: user=3.94 sys=0.00, real=0.08 secs] 
264.429: [GC (Allocation Failure) [PSYoungGen: 26355684K->907250K(26355712K)] 26464694K->1041204K(29501440K), 0.0863680 secs] [Times: user=4.32 sys=0.00, real=0.09 secs] 
272.064: [GC (Allocation Failure) [PSYoungGen: 26355698K->907251K(26355712K)] 26489652K->1190333K(29501440K), 0.1130707 secs] [Times: user=5.77 sys=0.00, real=0.11 secs] 
277.968: [GC (Allocation Failure) [PSYoungGen: 26355699K->889660K(26355712K)] 26638781K->1172750K(29501440K), 0.0807729 secs] [Times: user=3.88 sys=0.00, real=0.08 secs] 
286.554: [GC (Allocation Failure) [PSYoungGen: 26338108K->907242K(26355712K)] 26621198K->1294388K(29501440K), 0.1093119 secs] [Times: user=5.13 sys=0.00, real=0.11 secs] 
290.657: [GC (Allocation Failure) [PSYoungGen: 26355690K->907239K(26355712K)] 26742836K->1334657K(29501440K), 0.0922909 secs] [Times: user=4.42 sys=0.01, real=0.09 secs] 
296.455: [GC (Allocation Failure) [PSYoungGen: 26355687K->907234K(26355712K)] 26783105K->1429604K(29501440K), 0.1057626 secs] [Times: user=5.25 sys=0.00, real=0.10 secs] 
301.395: [GC (Allocation Failure) [PSYoungGen: 26355682K->907238K(26355712K)] 26878052K->1593544K(29501440K), 0.1219315 secs] [Times: user=6.21 sys=0.01, real=0.12 secs] 
306.188: [GC (Allocation Failure) [PSYoungGen: 26355686K->907262K(26355712K)] 27041992K->1900129K(29501440K), 0.1672414 secs] [Times: user=8.73 sys=0.01, real=0.17 secs] 
310.367: [GC (Allocation Failure) [PSYoungGen: 26355710K->907245K(26355712K)] 27348577K->1977095K(29501440K), 0.1247983 secs] [Times: user=6.68 sys=0.00, real=0.12 secs] 
314.203: [GC (Allocation Failure) [PSYoungGen: 26355693K->907252K(26355712K)] 27425543K->2193654K(29501440K), 0.1386205 secs] [Times: user=7.24 sys=0.00, real=0.13 secs] 
317.810: [GC (Allocation Failure) [PSYoungGen: 26355700K->907254K(26355712K)] 27642102K->2319809K(29501440K), 0.1178103 secs] [Times: user=6.15 sys=0.01, real=0.12 secs] 
321.434: [GC (Allocation Failure) [PSYoungGen: 26355702K->907259K(26355712K)] 27768257K->2647243K(29501440K), 0.1563873 secs] [Times: user=8.02 sys=0.00, real=0.15 secs] 
324.781: [GC (Allocation Failure) [PSYoungGen: 26355707K->845503K(26355712K)] 28095691K->2595411K(29501440K), 0.1048448 secs] [Times: user=5.46 sys=0.02, real=0.11 secs] 
327.851: [GC (Allocation Failure) [PSYoungGen: 26293951K->907238K(26355712K)] 28043859K->2783868K(29501440K), 0.1359549 secs] [Times: user=7.02 sys=0.02, real=0.14 secs] 
330.476: [GC (Allocation Failure) [PSYoungGen: 26355686K->907247K(26355712K)] 28232316K->3133205K(29501440K), 0.1901574 secs] [Times: user=10.25 sys=0.01, real=0.19 secs] 
333.312: [GC (Allocation Failure) [PSYoungGen: 26355695K->907243K(26355712K)] 28581653K->3270394K(29501440K), 0.1410526 secs] [Times: user=7.25 sys=0.01, real=0.15 secs] 
336.080: [GC (Allocation Failure) [PSYoungGen: 26355691K->842771K(26355712K)] 28718842K->3216118K(29501440K), 0.1230234 secs] [Times: user=6.11 sys=0.01, real=0.13 secs] 
338.652: [GC (Allocation Failure) [PSYoungGen: 26291219K->907254K(26355712K)] 28664566K->3374695K(29501440K), 0.1881985 secs] [Times: user=9.78 sys=0.00, real=0.19 secs] 
341.316: [GC (Allocation Failure) [PSYoungGen: 26355702K->907247K(26355712K)] 28823143K->3457425K(29501440K), 0.1457772 secs] [Times: user=7.30 sys=0.00, real=0.14 secs] 
