Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
511.329: [GC (Allocation Failure) [PSYoungGen: 1528542K->7934K(1550336K)] 1624174K->104174K(2074624K), 0.0430210 secs] [Times: user=0.32 sys=0.01, real=0.04 secs] 
541.138: [GC (Allocation Failure) [PSYoungGen: 1534206K->9278K(1548800K)] 1630446K->106838K(2073088K), 0.0253336 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
566.423: [GC (Allocation Failure) [PSYoungGen: 1535550K->7870K(1552384K)] 1633110K->106046K(2076672K), 0.0289973 secs] [Times: user=0.20 sys=0.00, real=0.03 secs] 
595.741: [GC (Allocation Failure) [PSYoungGen: 1538712K->7870K(1551360K)] 1636888K->106694K(2075648K), 0.0179843 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
643.349: [GC (Allocation Failure) [PSYoungGen: 1538750K->8606K(1554432K)] 1637574K->108422K(2078720K), 0.0610776 secs] [Times: user=0.30 sys=0.01, real=0.06 secs] 
666.338: [GC (System.gc()) [PSYoungGen: 698299K->5359K(1553408K)] 798116K->105784K(2077696K), 0.0275791 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
666.365: [Full GC (System.gc()) [PSYoungGen: 5359K->0K(1553408K)] [ParOldGen: 100424K->93415K(524288K)] 105784K->93415K(2077696K), [Metaspace: 20946K->20946K(1069056K)], 0.9156616 secs] [Times: user=9.16 sys=0.11, real=0.92 secs] 
687.905: [GC (Allocation Failure) [PSYoungGen: 1534976K->9968K(1555456K)] 1628391K->103383K(2079744K), 0.0065305 secs] [Times: user=0.09 sys=0.02, real=0.00 secs] 
697.597: [GC (Allocation Failure) [PSYoungGen: 1547504K->7279K(1554944K)] 1640919K->103835K(2079232K), 0.0074436 secs] [Times: user=0.12 sys=0.01, real=0.00 secs] 
707.112: [GC (Allocation Failure) [PSYoungGen: 1544815K->7215K(1556480K)] 1641371K->104626K(2080768K), 0.0072652 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
718.314: [GC (Allocation Failure) [PSYoungGen: 1546799K->7247K(1555968K)] 1644210K->105322K(2080256K), 0.0169441 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
746.689: [GC (System.gc()) [PSYoungGen: 906381K->5647K(1557504K)] 1004456K->104386K(2081792K), 0.0163531 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
746.706: [Full GC (System.gc()) [PSYoungGen: 5647K->0K(1557504K)] [ParOldGen: 98738K->90618K(524288K)] 104386K->90618K(2081792K), [Metaspace: 20964K->20964K(1069056K)], 0.7814677 secs] [Times: user=7.26 sys=0.06, real=0.78 secs] 
753.921: [GC (System.gc()) [PSYoungGen: 3093K->483K(1556992K)] 93712K->91102K(2081280K), 0.0090247 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
753.930: [Full GC (System.gc()) [PSYoungGen: 483K->0K(1556992K)] [ParOldGen: 90618K->88153K(524288K)] 91102K->88153K(2081280K), [Metaspace: 20968K->20968K(1069056K)], 0.2189315 secs] [Times: user=6.91 sys=0.00, real=0.22 secs] 
773.165: [GC (Allocation Failure) [PSYoungGen: 1541632K->8673K(1556992K)] 1629785K->96834K(2081280K), 0.0044586 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
786.292: [GC (Allocation Failure) [PSYoungGen: 1549793K->6481K(1556992K)] 1637954K->97540K(2081280K), 0.0062983 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
799.515: [GC (Allocation Failure) [PSYoungGen: 1547601K->6273K(1558528K)] 1638660K->97788K(2082816K), 0.0035832 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
812.745: [GC (Allocation Failure) [PSYoungGen: 1549953K->6209K(1558016K)] 1641468K->97876K(2082304K), 0.0045402 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
825.968: [GC (Allocation Failure) [PSYoungGen: 1549889K->6305K(1559552K)] 1641556K->98108K(2083840K), 0.0059608 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
839.191: [GC (Allocation Failure) [PSYoungGen: 1552033K->6209K(1559040K)] 1643836K->98148K(2083328K), 0.0066302 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
852.376: [GC (Allocation Failure) [PSYoungGen: 1551937K->6081K(1560576K)] 1643876K->98140K(2084864K), 0.0038529 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
