Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
328.794: [GC (Allocation Failure) [PSYoungGen: 21888918K->837124K(22609920K)] 22344509K->1293907K(25755648K), 0.1480493 secs] [Times: user=5.11 sys=0.00, real=0.15 secs] 
331.931: [GC (Allocation Failure) [PSYoungGen: 21939716K->758619K(22609920K)] 22396499K->1216330K(25755648K), 0.1345055 secs] [Times: user=4.76 sys=0.01, real=0.14 secs] 
334.540: [GC (System.gc()) [PSYoungGen: 15294039K->732379K(22609920K)] 15751750K->1192164K(25755648K), 0.1301809 secs] [Times: user=4.52 sys=0.00, real=0.13 secs] 
334.670: [Full GC (System.gc()) [PSYoungGen: 732379K->0K(22609920K)] [ParOldGen: 459784K->125616K(3145728K)] 1192164K->125616K(25755648K), [Metaspace: 22183K->22183K(1069056K)], 0.1415700 secs] [Times: user=3.50 sys=0.09, real=0.15 secs] 
354.182: [GC (Allocation Failure) [PSYoungGen: 21102592K->919172K(22609920K)] 21228208K->1044797K(25755648K), 0.1502857 secs] [Times: user=5.20 sys=0.00, real=0.15 secs] 
361.054: [GC (Allocation Failure) [PSYoungGen: 22021764K->918396K(22609920K)] 22147389K->1044029K(25755648K), 0.1393261 secs] [Times: user=4.86 sys=0.00, real=0.14 secs] 
366.354: [GC (Allocation Failure) [PSYoungGen: 22020988K->945525K(22609920K)] 22146621K->1071158K(25755648K), 0.1411755 secs] [Times: user=4.98 sys=0.01, real=0.14 secs] 
370.703: [GC (Allocation Failure) [PSYoungGen: 22048117K->986878K(22609920K)] 22173750K->1112511K(25755648K), 0.1504274 secs] [Times: user=5.20 sys=0.00, real=0.15 secs] 
374.572: [GC (Allocation Failure) [PSYoungGen: 22089470K->1006454K(22609920K)] 22215103K->1132087K(25755648K), 0.1504768 secs] [Times: user=5.31 sys=0.00, real=0.15 secs] 
377.972: [GC (Allocation Failure) [PSYoungGen: 22109046K->995137K(22609920K)] 22234679K->1120769K(25755648K), 0.1497823 secs] [Times: user=5.25 sys=0.00, real=0.15 secs] 
381.218: [GC (Allocation Failure) [PSYoungGen: 22097729K->1073015K(22609920K)] 22223361K->1198648K(25755648K), 0.1627048 secs] [Times: user=5.76 sys=0.00, real=0.17 secs] 
384.372: [GC (Allocation Failure) [PSYoungGen: 22175607K->1150342K(22609920K)] 22301240K->1275975K(25755648K), 0.1755607 secs] [Times: user=6.18 sys=0.00, real=0.17 secs] 
387.508: [GC (Allocation Failure) [PSYoungGen: 22252934K->1116606K(22609920K)] 22378567K->1242239K(25755648K), 0.1698970 secs] [Times: user=6.01 sys=0.00, real=0.17 secs] 
390.653: [GC (Allocation Failure) [PSYoungGen: 22218793K->1101788K(22609920K)] 22344425K->1227420K(25755648K), 0.1682716 secs] [Times: user=5.91 sys=0.00, real=0.17 secs] 
393.766: [GC (Allocation Failure) [PSYoungGen: 22204380K->1103719K(22609920K)] 22330012K->1229352K(25755648K), 0.1669788 secs] [Times: user=5.85 sys=0.00, real=0.17 secs] 
396.917: [GC (Allocation Failure) [PSYoungGen: 22206311K->1060889K(22609920K)] 22331944K->1186522K(25755648K), 0.1608280 secs] [Times: user=5.68 sys=0.00, real=0.16 secs] 
400.028: [GC (Allocation Failure) [PSYoungGen: 22163481K->1085460K(22609920K)] 22289114K->1211093K(25755648K), 0.1648164 secs] [Times: user=5.78 sys=0.00, real=0.17 secs] 
403.172: [GC (Allocation Failure) [PSYoungGen: 22188052K->1078923K(22609920K)] 22313685K->1204556K(25755648K), 0.1645164 secs] [Times: user=5.71 sys=0.00, real=0.17 secs] 
406.252: [GC (Allocation Failure) [PSYoungGen: 22181515K->1106743K(22609920K)] 22307148K->1232375K(25755648K), 0.1678019 secs] [Times: user=5.87 sys=0.01, real=0.17 secs] 
409.373: [GC (Allocation Failure) [PSYoungGen: 22209335K->777116K(22609920K)] 22334967K->1235725K(25755648K), 0.1713891 secs] [Times: user=6.05 sys=0.00, real=0.18 secs] 
412.538: [GC (Allocation Failure) [PSYoungGen: 21879708K->772513K(22609920K)] 22338317K->1239642K(25755648K), 0.1359122 secs] [Times: user=4.78 sys=0.00, real=0.14 secs] 
415.575: [GC (Allocation Failure) [PSYoungGen: 21875105K->787797K(22609920K)] 22342234K->1256975K(25755648K), 0.1396501 secs] [Times: user=4.87 sys=0.00, real=0.14 secs] 
