Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140271828k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=1610612736 -XX:NewSize=1610612736 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.292: [GC (Allocation Failure) [PSYoungGen: 1179648K->3998K(1376256K)] 1179648K->4006K(1900544K), 0.0085528 secs] [Times: user=0.08 sys=0.05, real=0.01 secs] 
0.311: [GC (Allocation Failure) [PSYoungGen: 1183646K->2192K(1376256K)] 1183654K->2208K(1900544K), 0.0117307 secs] [Times: user=0.31 sys=0.04, real=0.02 secs] 
1.266: [GC (Allocation Failure) [PSYoungGen: 1181840K->9996K(1376256K)] 1181856K->10020K(1900544K), 0.0155065 secs] [Times: user=0.23 sys=0.04, real=0.01 secs] 
13.915: [GC (System.gc()) [PSYoungGen: 361724K->83815K(1376256K)] 361748K->83855K(1900544K), 0.0703695 secs] [Times: user=0.84 sys=1.39, real=0.07 secs] 
13.986: [Full GC (System.gc()) [PSYoungGen: 83815K->0K(1376256K)] [ParOldGen: 40K->82346K(524288K)] 83855K->82346K(1900544K), [Metaspace: 16714K->16714K(1064960K)], 0.3104437 secs] [Times: user=5.43 sys=0.07, real=0.31 secs] 
100.863: [GC (System.gc()) [PSYoungGen: 346000K->8234K(1376256K)] 428346K->90660K(1900544K), 0.0143745 secs] [Times: user=0.20 sys=0.00, real=0.02 secs] 
100.878: [Full GC (System.gc()) [PSYoungGen: 8234K->0K(1376256K)] [ParOldGen: 82426K->88874K(524288K)] 90660K->88874K(1900544K), [Metaspace: 20170K->20170K(1067008K)], 0.6119768 secs] [Times: user=20.20 sys=0.06, real=0.61 secs] 
213.497: [GC (Allocation Failure) [PSYoungGen: 1179648K->6211K(1376256K)] 1268522K->95093K(1900544K), 0.0115771 secs] [Times: user=0.27 sys=0.00, real=0.01 secs] 
232.897: [GC (Allocation Failure) [PSYoungGen: 1185859K->8776K(1376256K)] 1274741K->97667K(1900544K), 0.0084471 secs] [Times: user=0.18 sys=0.00, real=0.00 secs] 
243.717: [GC (Allocation Failure) [PSYoungGen: 1188424K->9352K(1515520K)] 1277315K->98251K(2039808K), 0.0124959 secs] [Times: user=0.19 sys=0.14, real=0.02 secs] 
253.234: [GC (Allocation Failure) [PSYoungGen: 1463944K->9384K(1511936K)] 1552843K->98291K(2036224K), 0.0096083 secs] [Times: user=0.16 sys=0.03, real=0.01 secs] 
262.328: [GC (Allocation Failure) [PSYoungGen: 1463976K->7864K(1521152K)] 1552883K->98836K(2045440K), 0.0094122 secs] [Times: user=0.20 sys=0.02, real=0.01 secs] 
271.460: [GC (Allocation Failure) [PSYoungGen: 1474744K->7112K(1518592K)] 1565716K->98921K(2042880K), 0.0089963 secs] [Times: user=0.20 sys=0.04, real=0.01 secs] 
280.406: [GC (Allocation Failure) [PSYoungGen: 1473992K->8168K(1525760K)] 1565801K->100249K(2050048K), 0.0106691 secs] [Times: user=0.15 sys=0.05, real=0.01 secs] 
289.469: [GC (Allocation Failure) [PSYoungGen: 1484264K->6344K(1523200K)] 1576345K->99105K(2047488K), 0.0288062 secs] [Times: user=0.32 sys=0.01, real=0.03 secs] 
318.420: [GC (Allocation Failure) [PSYoungGen: 1482440K->6420K(1529856K)] 1575201K->99897K(2054144K), 0.1135933 secs] [Times: user=0.50 sys=0.01, real=0.11 secs] 
332.650: [GC (System.gc()) [PSYoungGen: 497283K->5268K(1527808K)] 590759K->99521K(2052096K), 0.0530970 secs] [Times: user=0.26 sys=0.01, real=0.06 secs] 
332.703: [Full GC (System.gc()) [PSYoungGen: 5268K->0K(1527808K)] [ParOldGen: 94252K->89708K(524288K)] 99521K->89708K(2052096K), [Metaspace: 20794K->20794K(1069056K)], 1.3000372 secs] [Times: user=12.98 sys=0.11, real=1.30 secs] 
353.452: [GC (Allocation Failure) [PSYoungGen: 1484800K->9817K(1534464K)] 1574508K->99533K(2058752K), 0.0086852 secs] [Times: user=0.09 sys=0.03, real=0.01 secs] 
362.770: [GC (Allocation Failure) [PSYoungGen: 1503321K->7240K(1531904K)] 1593037K->100011K(2056192K), 0.0104311 secs] [Times: user=0.16 sys=0.06, real=0.01 secs] 
371.934: [GC (Allocation Failure) [PSYoungGen: 1500744K->7528K(1538560K)] 1593515K->101035K(2062848K), 0.0079827 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
382.835: [GC (Allocation Failure) [PSYoungGen: 1509736K->6664K(1536512K)] 1603243K->100787K(2060800K), 0.0238134 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
416.982: [GC (Allocation Failure) [PSYoungGen: 1508872K->5716K(1541632K)] 1602995K->100555K(2065920K), 0.0260974 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
438.155: [GC (System.gc()) [PSYoungGen: 600084K->5160K(1540096K)] 694923K->100631K(2064384K), 0.0083292 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
438.163: [Full GC (System.gc()) [PSYoungGen: 5160K->0K(1540096K)] [ParOldGen: 95470K->90818K(524288K)] 100631K->90818K(2064384K), [Metaspace: 20917K->20917K(1069056K)], 0.3569668 secs] [Times: user=11.88 sys=0.00, real=0.36 secs] 
459.017: [GC (Allocation Failure) [PSYoungGen: 1508864K->9520K(1544704K)] 1599682K->100338K(2068992K), 0.0108556 secs] [Times: user=0.15 sys=0.13, real=0.01 secs] 
468.651: [GC (Allocation Failure) [PSYoungGen: 1524016K->6895K(1542656K)] 1614834K->100572K(2066944K), 0.0091342 secs] [Times: user=0.15 sys=0.01, real=0.01 secs] 
477.968: [GC (Allocation Failure) [PSYoungGen: 1521391K->6383K(1547264K)] 1615068K->100882K(2071552K), 0.0089600 secs] [Times: user=0.15 sys=0.01, real=0.01 secs] 
487.602: [GC (Allocation Failure) [PSYoungGen: 1527023K->6462K(1546240K)] 1621522K->101625K(2070528K), 0.0311014 secs] [Times: user=0.30 sys=0.00, real=0.03 secs] 
500.457: [GC (Allocation Failure) [PSYoungGen: 1527102K->6383K(1549824K)] 1622265K->102241K(2074112K), 0.0599035 secs] [Times: user=0.34 sys=0.00, real=0.06 secs] 
527.706: [GC (Allocation Failure) [PSYoungGen: 1532143K->7838K(1548800K)] 1628001K->104392K(2073088K), 0.0453754 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
543.043: [GC (Allocation Failure) [PSYoungGen: 1533598K->10256K(1551872K)] 1630152K->107648K(2076160K), 0.0642379 secs] [Times: user=0.37 sys=0.01, real=0.07 secs] 
