Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;21425.0
Domain Marker;max-jOPS;85200.0
Domain Marker;Last Success for SLAs;29583.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
1183;95.6938623231647
2367;96.9813959468236
3550;97.50185173492471
4733;97.8575838100872
5917;98.08590346123165
7100;98.1834791915273
8283;98.19901989466497
9467;98.37958369242699
10650;98.46290074416316
11833;98.47122015690897
13017;98.50679609992079
14200;98.68212045858415
15383;98.57433334805745
16567;98.6454100203749
17750;98.67987247683324
18933;98.58865420678707
20117;94.54025323543195
21300;89.42131575075875
22483;84.95384375175877
23667;80.77721681779947
24850;76.83256685726073
26033;73.33884060811745
27217;70.02371433451924
28400;66.89990378071029
29583;64.72082403320195
30767;61.64655095619378
31950;59.46083156603433
33134;57.06116201950237
34317;55.229424409614424
35500;53.45161254199515
36684;50.732600610779016
37867;49.84473963269363
39050;47.98860736611423
40234;46.68793821897239
41417;44.870186031885055
42600;43.95921216678843
43784;41.36270683249821
44967;38.725531150805175
46150;39.14224016017313
47334;37.412679917018664
48517;35.085053740584186
49700;35.0201757017286
50884;31.704569998305015
52067;31.478242767420163
53250;30.51803184838497
54434;28.70018075054497
55617;27.94456240310918
56800;26.063319599467857
57984;25.653353384940168
59167;23.041510825402547
60350;21.173596659955802
61534;21.153015460826488
62717;18.018808961516363
63900;19.570740082563894
65084;18.62496864749152
66267;16.600043348081964
67450;15.85815708830698
68634;14.84689172094021
69817;13.849151246778549
71000;14.900730270269891
72184;11.899090360873508
73367;12.608603972323978
74550;12.772431127599571
75734;10.911096471508266
76917;10.850299225836215
78100;11.334003204455106
79284;10.288920474532633
80467;10.367671111967754
81650;10.384515610895965
82834;10.058549586153473
84017;9.174444274805984
85200;8.11827230161784
86384;5.275430609280326
87567;0.011002473162815768
88750;0.007875016559116495
89934;0.004312000563690325
