
===================================
Domain Marker;critical-jOPS;21425.0
Domain Marker;max-jOPS;85200.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
1183.0;800.0;1700.0;2300.0;2600.0;4400.0;24000.0
2367.0;700.0;1700.0;2500.0;2800.0;4100.0;104000.0
3550.0;700.0;1900.0;2600.0;2900.0;3800.0;98000.0
4733.0;700.0;2100.0;2900.0;3200.0;3900.0;91000.0
5917.0;600.0;2300.0;3200.0;3500.0;4200.0;117000.0
7100.0;700.0;2600.0;3500.0;3800.0;4600.0;115000.0
8283.0;600.0;2800.0;3800.0;4100.0;4900.0;147000.0
9467.0;700.0;2900.0;4000.0;4300.0;5100.0;131000.0
10650.0;700.0;3100.0;4200.0;4500.0;5500.0;129000.0
11833.0;700.0;3300.0;4500.0;4800.0;6000.0;131000.0
13017.0;600.0;3500.0;4800.0;5200.0;6600.0;124000.0
14200.0;700.0;3700.0;5000.0;5400.0;13900.0;133000.0
15383.0;700.0;3800.0;5300.0;5600.0;12300.0;139000.0
16567.0;600.0;4100.0;5600.0;6000.0;13100.0;139000.0
17750.0;700.0;4200.0;5900.0;6300.0;19000.0;153000.0
18933.0;700.0;4400.0;6200.0;6600.0;27000.0;130000.0
20117.0;700.0;4500.0;6400.0;6800.0;28000.0;147000.0
21300.0;700.0;4500.0;6400.0;6800.0;30000.0;159000.0
22483.0;700.0;4600.0;6600.0;7200.0;44000.0;149000.0
23667.0;700.0;4600.0;6800.0;7400.0;40000.0;146000.0
24850.0;700.0;4600.0;6900.0;7700.0;54000.0;142000.0
26033.0;700.0;4700.0;7100.0;8100.0;66000.0;273000.0
27217.0;700.0;4700.0;7600.0;9300.0;109000.0;376000.0
28400.0;700.0;4800.0;7900.0;17600.0;133000.0;435000.0
29583.0;700.0;4800.0;7700.0;9500.0;76000.0;257000.0
30767.0;700.0;5000.0;9600.0;60000.0;162000.0;538000.0
31950.0;700.0;5000.0;11600.0;67000.0;226000.0;569000.0
33134.0;700.0;5100.0;32000.0;98000.0;329000.0;710000.0
34317.0;700.0;5300.0;53000.0;105000.0;226000.0;398000.0
35500.0;700.0;5100.0;25000.0;72000.0;149000.0;375000.0
36684.0;700.0;5600.0;71000.0;124000.0;412000.0;690000.0
37867.0;600.0;5500.0;63000.0;109000.0;228000.0;680000.0
39050.0;700.0;6000.0;80000.0;121000.0;211000.0;660000.0
40234.0;700.0;6300.0;90000.0;131000.0;265000.0;630000.0
41417.0;700.0;6500.0;99000.0;141000.0;226000.0;574000.0
42600.0;700.0;6800.0;108000.0;158000.0;305000.0;640000.0
43784.0;700.0;17700.0;153000.0;205000.0;320000.0;533000.0
44967.0;700.0;33000.0;220000.0;351000.0;790000.0;2200000.0
46150.0;700.0;35000.0;169000.0;234000.0;372000.0;730000.0
47334.0;700.0;38000.0;196000.0;259000.0;1100000.0;2200000.0
48517.0;700.0;49000.0;208000.0;297000.0;580000.0;1500000.0
49700.0;700.0;61000.0;212000.0;270000.0;404000.0;860000.0
50884.0;700.0;81000.0;288000.0;436000.0;880000.0;1500000.0
52067.0;700.0;97000.0;274000.0;338000.0;517000.0;910000.0
53250.0;700.0;101000.0;325000.0;412000.0;730000.0;1500000.0
54434.0;700.0;94000.0;320000.0;428000.0;790000.0;1700000.0
55617.0;700.0;141000.0;390000.0;554000.0;970000.0;1900000.0
56800.0;700.0;155000.0;339000.0;396000.0;529000.0;990000.0
57984.0;700.0;168000.0;390000.0;461000.0;630000.0;1300000.0
59167.0;700.0;191000.0;406000.0;496000.0;850000.0;2300000.0
60350.0;700.0;206000.0;471000.0;598000.0;980000.0;2200000.0
61534.0;800.0;230000.0;432000.0;489000.0;620000.0;1200000.0
62717.0;700.0;243000.0;544000.0;760000.0;1300000.0;3100000.0
63900.0;700.0;249000.0;443000.0;503000.0;710000.0;1300000.0
65084.0;1000.0;267000.0;437000.0;492000.0;640000.0;960000.0
66267.0;1200.0;279000.0;505000.0;630000.0;930000.0;1900000.0
67450.0;1600.0;305000.0;529000.0;640000.0;1100000.0;2200000.0
68634.0;1000.0;290000.0;596000.0;880000.0;1600000.0;2700000.0
69817.0;14600.0;350000.0;610000.0;770000.0;1300000.0;2200000.0
71000.0;2100.0;309000.0;542000.0;640000.0;1400000.0;2700000.0
72184.0;1900.0;370000.0;780000.0;980000.0;1500000.0;2800000.0
73367.0;6600.0;365000.0;640000.0;790000.0;1300000.0;2600000.0
74550.0;5000.0;347000.0;599000.0;720000.0;1300000.0;2500000.0
75734.0;8700.0;377000.0;690000.0;900000.0;1700000.0;2300000.0
76917.0;9200.0;383000.0;700000.0;880000.0;1300000.0;2100000.0
78100.0;17800.0;373000.0;585000.0;650000.0;790000.0;1400000.0
79284.0;7000.0;404000.0;640000.0;740000.0;1100000.0;2300000.0
80467.0;2400.0;361000.0;660000.0;790000.0;1200000.0;2200000.0
81650.0;3900.0;363000.0;620000.0;790000.0;1200000.0;2800000.0
82834.0;12000.0;357000.0;620000.0;730000.0;1200000.0;2400000.0
84017.0;6300.0;404000.0;780000.0;1100000.0;1800000.0;4500000.0
85200.0;2000.0;400000.0;780000.0;990000.0;1600000.0;5000000.0
86384.0;8000.0;555000.0;9400000.0;1.3E7;1.9E7;2.7E7
87567.0;93000.0;2800000.0;1.5E7;2.0E7;2.4E7;4.8E7
88750.0;492000.0;2400000.0;1.6E7;2.6E7;2.6E7;5.9E7
89934.0;316000.0;640000.0;1.1E7;1.1E7;1.7E7;6.0E7
