Request Mix Accuracy
===================================
Domain Marker;max-jOPS;79902.0
Domain Marker;critical-jOPS;20604.0
Domain Marker;Validation Start jOPS;9864.5
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
986.0;-0.02346945617917129;0.018105009052504784;-0.005364447126668281;5.833836250251356E-4;-8.717226580835513E-4;0.0014584590625628668;0.007510225977335194;0.0020485482464964733
1973.0;0.005450048211962155;0.022009810086778714;-0.007126986123338952;-0.0010606632289439644;-5.450048211964598E-4;-9.747201609860423E-4;0.0019704020458641835;-0.019722886010145046
2959.0;-0.017047582317466947;0.014057268697847292;0.002738791913296623;0.001167619654465074;-0.005650854335395694;-0.001831916427721042;0.004410013917534261;0.0021566588974408774
3946.0;-0.003771371102914145;-0.009218907140464694;0.010476030841434891;-2.681863895407366E-4;-0.001424740194435059;-2.514247401944336E-4;0.0036037546094536133;8.548441166609244E-4
4932.0;-0.007880749174198343;0.0015929173862758716;1.6767551434426764E-4;2.6995757809486487E-4;-3.1858347725488567E-4;-8.341856838645911E-4;0.0023642247522592807;0.004638743104344645
5919.0;-2.793405328702647E-4;-0.0056147447106909;-1.676043197225141E-4;5.625918332001767E-4;0.004508556200521818;-2.695636142195368E-4;3.184482074718442E-4;9.416569363049909E-4
6905.0;-0.0052677955712212565;0.006896023293229803;-7.662248103592617E-4;-0.00110911041299519;0.0023178300513369;-7.374913799708671E-4;-0.0031894107731208488;0.0018561796030955868
7892.0;-0.0054526084439956435;-0.005159006450860204;0.009730808915435318;4.53824795107749E-4;0.0013925123103122328;0.0012394198424615643;-4.949290741471657E-4;-0.001710021894319791
8878.0;-0.00986545749663037;0.003760042291169441;0.0015263538013652322;0.0014466855785625343;0.002739991214158577;1.7311085795979064E-4;-4.244008130627197E-4;6.436745664784027E-4
9864.0;0.0033546802822002064;0.0018953943594368639;-0.005904237296665116;-1.9826160467775744E-4;-1.375418915700033E-4;4.268830659094336E-4;0.002210734305966966;-0.001647651220600288
10851.0;0.007082940471313748;-0.0063137179039927105;-8.682314126122748E-4;-7.722689933237215E-5;7.509440112594135E-4;8.731818548773917E-4;-0.001229232894698784;-2.1865722680791677E-4
11837.0;-0.007828664094390092;0.013560364592073881;9.785830117987615E-4;-3.243303696247868E-4;6.710283509478998E-4;-8.807247106190075E-4;-0.0025443158306771574;-0.0036319409495049193
12824.0;-0.006773310833040114;0.005502508705319542;-0.0023351795443424805;1.1598488455052958E-4;-5.173519321997055E-4;0.0010640548780094239;6.437870677498125E-4;0.0022995067739559616
13810.0;0.007600339441928838;0.005128732993490814;-0.010161713679053719;7.793040961640435E-4;-0.0011837379067828335;-0.0011636897673099056;-2.2621482748430566E-4;-7.730203509561662E-4
14797.0;0.01101115983844636;-0.03146285214750577;0.009870917905933752;2.7421700592589193E-4;0.001959651085968739;-2.646590956092987E-4;9.53555263166761E-4;0.007658010143681615
15783.0;0.1263194143704709;-0.13396327814794518;0.009652660742888841;-5.515060759586216E-4;-0.001549643373317977;-7.004701106664568E-4;-0.0021757619079918467;0.0029685845025229085
16770.0;0.03460084465605462;-0.06412030812546732;0.03928678761803894;-5.298872210184047E-5;0.0027324781322661806;-4.7848025181507214E-4;-0.0026059379003812166;-0.009362395406589563
17756.0;0.07563262761601663;-0.17856975705826272;0.078609258257341;7.186971718264601E-4;0.0037235964437687397;0.0011415097695264276;0.004753248552402667;0.013990819247380326
18743.0;-0.045063101557161644;0.06984119992070958;-0.0033918463537663257;-4.471070193599741E-4;-0.001916172940114036;2.9183093628171175E-4;3.7442459749348345E-4;-0.019689227584080093
19729.0;0.11875884161472072;-0.11826594397481216;-0.04624812214424878;9.386961719968223E-4;0.0015511530855814026;0.001925460395885259;0.0018039211060454363;0.0395359937448343
20715.0;0.09958585439689926;-0.13203648459928985;0.017783474764229368;-5.318197459940055E-5;0.00460188519271032;0.0013108995775121257;0.006206167986055666;0.0026013846564789667
21702.0;0.14926875851411836;-0.31884935677902604;0.14791107639783974;5.294960253474645E-4;-0.0025612901946368005;0.0013237400633686613;0.007888285644113369;0.014489290328879356
22688.0;0.13615733736762792;-0.15534214738319463;0.012205193419427829;1.9952202416188836E-4;0.0049186198630388756;0.0010469424894209434;-0.002974559114794606;0.003789091334312822
23675.0;9.437200325237427E-4;-0.09277466971546744;0.0690034106741031;-3.5581740485374214E-5;0.0036287782880080055;5.401923371331496E-4;0.008312425856810357;0.010381724267376047
24661.0;0.24673317802603378;-0.21972558228563344;0.015519613603638405;-8.265344709492417E-4;0.0012718480078270922;-0.002566538592617129;-0.018602861291202477;-0.021803122997106072
25648.0;0.4884744023167187;-0.5415058188860442;0.08905616198499722;3.1228322618742643E-4;0.004218789083754393;-4.441848531031023E-4;-0.01009311764903087;-0.030018515223484865
26634.0;-0.19535238218188056;0.2492038498228979;-0.0853468024585542;-3.221840241163232E-4;0.015397926130421569;1.8759414619373693E-4;0.005219120513955122;0.011012878051081643
27621.0;0.07851788207755561;-0.16488755236287744;0.030893569146792643;0.001327039818445147;-0.0023787987821420886;0.0015955836636885046;0.025838093045653876;0.029094183392878836
28607.0;0.07935733193988881;-0.01076664235797864;-0.08418078771626547;-4.3009147339347076E-4;0.001728404986534482;-0.0017068717018185464;0.004771775893056995;0.01122688042997666
29593.0;0.05881694554815908;-0.132240192512171;0.02792545749622377;-2.7421791930160033E-4;0.006771503721529015;8.254518999384342E-4;-2.7981420336897767E-4;0.03845486596899672
30580.0;-0.24958778488016975;0.35283785775055776;-0.08946654577174229;-5.090708837913599E-4;0.0012551990732823093;-7.348884034448777E-4;0.0033525754168133304;-0.01714734230149917
31566.0;0.23732708988861617;-0.17530330370632896;-0.07304872256478845;9.701734317381777E-4;-4.6867775206627105E-4;6.429902269679544E-4;0.009963858339790299;-8.340786393024047E-5
32553.0;0.267197230526115;-0.22074224801153974;-0.007799104865018336;6.682101437394949E-4;0.0020343048249746865;0.0025643324001987655;-0.00884460372937157;-0.03507812128910448
33539.0;0.1975186074715225;-0.2046227379735086;0.0015159441656962258;-2.251127545399162E-4;0.01771375803549491;0.002013332382152677;0.009143224026823216;-0.023057015353640686
34526.0;0.3042480127428888;-0.18079169420114738;-0.1084540075555882;-5.893969663054444E-4;-0.005177754943791468;-0.001759978303468801;0.004133036406626545;-0.011608217179221558
35512.0;0.06712728292135495;-0.1256185931630327;0.03402698968479889;2.733521683997986E-5;0.01317259418658634;-4.904738864857372E-4;0.0023223292398808493;0.009432535800053543
36499.0;-0.202233067812422;0.3541329763141263;-0.12550546897880288;-7.707321864819094E-4;0.007163425419791647;7.107944344295625E-4;-0.01493805219586819;-0.018559874994770187
37485.0;0.017012980241084108;0.1532803235382758;-0.16601133550569358;4.8705732004464264E-4;-0.01691487941995018;0.002234003158669673;3.632381755369618E-4;0.00954861249203498
38472.0;0.11228059915094946;-0.1301870110569041;-0.02366880190451326;2.476967641169836E-5;-0.006933789278858349;-0.0013141689429540804;-0.0020744603994797828;0.05187286275535108
39458.0;-0.09309733625403283;0.04172031503436102;0.006521411969298896;-2.5584000802636453E-4;0.006471247261843116;-2.63364714144787E-4;-0.02504891058976977;0.06395247730047027
40444.0;0.04331471653014063;0.023135011200125177;-0.0776823257282917;-4.2080632760214953E-4;0.01008132774423287;-0.0010317183885788506;9.499197439599705E-5;0.002508802995575987
41431.0;-0.02541726847242387;0.06601962410925921;0.005028069763181264;-5.858433133199559E-4;0.004664513814137239;-6.140693383084039E-4;0.024444489279055404;-0.0735395158415848
42417.0;0.10377868686307323;0.007110327075046996;-0.028323911595585116;2.959179600522388E-4;0.020529553055092853;-0.002332085536804279;-0.003223713508212711;-0.09783477431266174
43404.0;0.06468492740151532;0.05229127243430298;-0.12080239050174413;3.922274377714946E-4;-0.022043204879832468;2.7519213882720717E-4;-0.0046947569177413495;0.02989673288689998
44390.0;0.10266332717969817;-0.04385851328704149;0.006548255463354025;-3.333321001402212E-4;-0.023163066359354945;0.001386417364345638;-0.005775043377567846;-0.03746804488329669
45377.0;-0.10114573387092918;-0.019940576424751555;0.07344298032534624;5.247597012602856E-4;0.018543749821926525;8.370366528177575E-4;0.007000935844601486;0.0207368479497263
46363.0;-0.13230371217990466;0.07800339732336425;0.07594225971755364;7.107371054471123E-7;-0.006460600288559215;-0.001277549947050094;0.004982267109219007;-0.018886772471730318
47350.0;-0.36652050932197966;0.257850699191728;0.10636554860597336;1.1859451899498552E-4;0.006972744176771961;0.0016211752221816922;8.024826064858548E-4;-0.0072107350001635595
48336.0;-0.1602087330002604;0.09928837913901134;0.06093745191173383;-7.899299321892372E-5;-0.004175343927285469;-0.0023176407426025447;-0.026642182258378888;0.03319706187100557
49322.0;-1.1710412865539865E-4;-0.04060334723750003;0.05037819614807759;-4.280323194011948E-4;-9.80328848468881E-5;-7.354975737697278E-4;0.014891295583200348;-0.023287477587106142
50309.0;0.147532430441629;0.022748062951094994;-0.19964778249373616;4.1834426329911967E-4;0.01564672394158695;0.0010131084259375478;0.004838487279196668;0.007450625190986493
51295.0;0.09641868412661125;-0.013938561147426753;-0.09721508158417613;-2.8975380079082624E-4;0.021540303331093025;-0.0034700289625349545;-0.0050812084560711845;0.0020356464932982377
52282.0;-0.0358985327026744;0.01718902501730213;0.06089501540356146;-2.5381335160436225E-4;-0.027017273566377398;-1.6135412546064432E-4;-0.0091941883493174;-0.00555887832542501
53268.0;0.13654108107589025;-0.2426696839164535;0.06889448946269461;-5.087893192330245E-4;0.027890052458157566;5.39491322155472E-4;-0.019331888496766148;0.028645247413553676
54255.0;-0.08455955304496143;0.15059003574742036;-0.04412145749479279;6.704689641864325E-4;-0.020207518306066152;0.0030415042680274063;0.022633561313412764;-0.02804704144722736
55241.0;0.27954083218030235;-0.17426547937151327;-0.16104880798496524;4.3472820356847686E-4;0.002221837713045849;-3.577332345849893E-5;0.012400021793288252;0.0407526407897314
56228.0;0.06518709533411027;-0.006821222298420082;-0.04791743457427167;-1.7078754645993843E-4;0.011538071818880002;0.0010562247875435249;-0.005085445171029823;-0.017786502350348066
57214.0;0.05008671235081863;-0.2016699217990805;0.14869951629394684;-2.8727515327628406E-4;0.0025116780214784473;0.0011965958887720785;-0.025303075718612567;0.024765770115955377
58201.0;-0.18397226435684644;-0.019222624004555655;0.22350566625434887;-9.54776495761811E-5;-3.26446166513783E-4;2.4683385775114974E-4;-0.027915859714401137;0.00778017177980006
59187.0;-0.07012450312179652;0.06591144532468007;-0.014997144731387024;-4.0085512780541066E-4;0.006775535656214471;-0.0024409473457177033;2.1009412887473822E-4;0.01506637521693932
