Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
529.943: [GC (Allocation Failure) [PSYoungGen: 1527151K->7343K(1550336K)] 1622850K->103618K(2074624K), 0.0838508 secs] [Times: user=0.48 sys=0.00, real=0.09 secs] 
578.386: [GC (Allocation Failure) [PSYoungGen: 1533615K->8926K(1548800K)] 1629890K->105936K(2073088K), 0.0624467 secs] [Times: user=0.36 sys=0.00, real=0.06 secs] 
629.171: [GC (Allocation Failure) [PSYoungGen: 1535198K->9246K(1552384K)] 1632208K->107256K(2076672K), 0.0469538 secs] [Times: user=0.18 sys=0.00, real=0.04 secs] 
637.974: [GC (System.gc()) [PSYoungGen: 269820K->5167K(1551360K)] 367831K->105152K(2075648K), 0.0290832 secs] [Times: user=0.14 sys=0.01, real=0.03 secs] 
638.003: [Full GC (System.gc()) [PSYoungGen: 5167K->0K(1551360K)] [ParOldGen: 99985K->92114K(524288K)] 105152K->92114K(2075648K), [Metaspace: 20759K->20759K(1069056K)], 1.0622128 secs] [Times: user=10.49 sys=0.11, real=1.06 secs] 
659.804: [GC (Allocation Failure) [PSYoungGen: 1530880K->9247K(1553920K)] 1622994K->101362K(2078208K), 0.0077476 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
669.375: [GC (Allocation Failure) [PSYoungGen: 1543199K->7310K(1552896K)] 1635314K->102387K(2077184K), 0.0084687 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
678.898: [GC (Allocation Failure) [PSYoungGen: 1541262K->7166K(1555456K)] 1636339K->102995K(2079744K), 0.0081562 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
688.961: [GC (Allocation Failure) [PSYoungGen: 1544190K->6735K(1554432K)] 1640019K->103323K(2078720K), 0.0142464 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
719.722: [GC (System.gc()) [PSYoungGen: 1061286K->6197K(1556480K)] 1157873K->103432K(2080768K), 0.0739227 secs] [Times: user=0.50 sys=0.01, real=0.08 secs] 
719.796: [Full GC (System.gc()) [PSYoungGen: 6197K->0K(1556480K)] [ParOldGen: 97235K->91175K(524288K)] 103432K->91175K(2080768K), [Metaspace: 20831K->20831K(1069056K)], 1.0775227 secs] [Times: user=13.80 sys=0.14, real=1.08 secs] 
727.070: [GC (System.gc()) [PSYoungGen: 3742K->544K(1555968K)] 94918K->91727K(2080256K), 0.0070088 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
727.077: [Full GC (System.gc()) [PSYoungGen: 544K->0K(1555968K)] [ParOldGen: 91183K->88247K(524288K)] 91727K->88247K(2080256K), [Metaspace: 20858K->20858K(1069056K)], 0.2409676 secs] [Times: user=7.44 sys=0.00, real=0.24 secs] 
746.336: [GC (Allocation Failure) [PSYoungGen: 1539584K->8325K(1556480K)] 1627831K->96580K(2080768K), 0.0050686 secs] [Times: user=0.04 sys=0.03, real=0.01 secs] 
759.512: [GC (Allocation Failure) [PSYoungGen: 1547909K->6177K(1555968K)] 1636164K->97130K(2080256K), 0.0064095 secs] [Times: user=0.09 sys=0.01, real=0.00 secs] 
772.632: [GC (Allocation Failure) [PSYoungGen: 1545761K->6369K(1558016K)] 1636714K->97730K(2082304K), 0.0064339 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
785.846: [GC (Allocation Failure) [PSYoungGen: 1549025K->6017K(1557504K)] 1640386K->97586K(2081792K), 0.0040131 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
799.026: [GC (Allocation Failure) [PSYoungGen: 1548673K->6209K(1559040K)] 1640242K->97954K(2083328K), 0.0039338 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
812.184: [GC (Allocation Failure) [PSYoungGen: 1550913K->6273K(1558528K)] 1642658K->98170K(2082816K), 0.0070227 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
825.427: [GC (Allocation Failure) [PSYoungGen: 1550977K->5985K(1560064K)] 1642874K->97946K(2084352K), 0.0043060 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
838.666: [GC (Allocation Failure) [PSYoungGen: 1552737K->6081K(1559552K)] 1644698K->98186K(2083840K), 0.0059966 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
851.868: [GC (Allocation Failure) [PSYoungGen: 1552833K->6305K(1561088K)] 1644938K->98570K(2085376K), 0.0037616 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
865.122: [GC (Allocation Failure) [PSYoungGen: 1555105K->6081K(1560576K)] 1647370K->98538K(2084864K), 0.0064925 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
878.365: [GC (Allocation Failure) [PSYoungGen: 1554881K->5665K(1561600K)] 1647338K->98242K(2085888K), 0.0052924 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
891.625: [GC (Allocation Failure) [PSYoungGen: 1556001K->6209K(1561600K)] 1648578K->98954K(2085888K), 0.0042214 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
904.864: [GC (Allocation Failure) [PSYoungGen: 1556545K->6145K(1562624K)] 1649290K->99002K(2086912K), 0.0042901 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
1011.073: [GC (Allocation Failure) [PSYoungGen: 1558017K->6095K(1562112K)] 1650874K->99049K(2086400K), 0.0122374 secs] [Times: user=0.23 sys=0.01, real=0.01 secs] 
1091.455: [GC (Allocation Failure) [PSYoungGen: 1557967K->4943K(1563136K)] 1650921K->99313K(2087424K), 0.0109683 secs] [Times: user=0.24 sys=0.01, real=0.01 secs] 
1140.297: [GC (Allocation Failure) [PSYoungGen: 1557839K->5135K(1562624K)] 1652209K->99641K(2086912K), 0.0115818 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
1181.296: [GC (Allocation Failure) [PSYoungGen: 1558031K->5103K(1563136K)] 1652537K->99873K(2087424K), 0.0103743 secs] [Times: user=0.20 sys=0.01, real=0.01 secs] 
1214.113: [GC (Allocation Failure) [PSYoungGen: 1558511K->4946K(1563136K)] 1653281K->100170K(2087424K), 0.0077305 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1245.403: [GC (Allocation Failure) [PSYoungGen: 1558354K->5199K(1563648K)] 1653578K->100519K(2087936K), 0.0110590 secs] [Times: user=0.25 sys=0.01, real=0.02 secs] 
1271.750: [GC (Allocation Failure) [PSYoungGen: 1559631K->4928K(1563648K)] 1654951K->100767K(2087936K), 0.0075349 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
