Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
327.485: [GC (Allocation Failure) [PSYoungGen: 21892189K->763620K(22609920K)] 22344345K->1219128K(25755648K), 0.1339777 secs] [Times: user=4.68 sys=0.01, real=0.13 secs] 
330.584: [GC (Allocation Failure) [PSYoungGen: 21866212K->801651K(22609920K)] 22321720K->1258152K(25755648K), 0.1399763 secs] [Times: user=4.89 sys=0.00, real=0.14 secs] 
333.723: [GC (Allocation Failure) [PSYoungGen: 21904243K->778739K(22609920K)] 22360744K->1237633K(25755648K), 0.1364543 secs] [Times: user=4.81 sys=0.00, real=0.14 secs] 
336.920: [GC (Allocation Failure) [PSYoungGen: 21881331K->866267K(22609920K)] 22340225K->1326041K(25755648K), 0.1508797 secs] [Times: user=5.29 sys=0.00, real=0.15 secs] 
338.973: [GC (System.gc()) [PSYoungGen: 10955437K->771051K(22609920K)] 11415211K->1231746K(25755648K), 0.1460422 secs] [Times: user=4.90 sys=0.00, real=0.15 secs] 
339.120: [Full GC (System.gc()) [PSYoungGen: 771051K->0K(22609920K)] [ParOldGen: 460694K->126784K(3145728K)] 1231746K->126784K(25755648K), [Metaspace: 22067K->22067K(1069056K)], 0.1741038 secs] [Times: user=4.03 sys=0.04, real=0.17 secs] 
358.537: [GC (Allocation Failure) [PSYoungGen: 21102592K->912385K(22609920K)] 21229376K->1039170K(25755648K), 0.1521284 secs] [Times: user=5.07 sys=0.00, real=0.16 secs] 
365.490: [GC (Allocation Failure) [PSYoungGen: 22014977K->928722K(22609920K)] 22141762K->1055506K(25755648K), 0.1402414 secs] [Times: user=4.89 sys=0.01, real=0.14 secs] 
370.623: [GC (Allocation Failure) [PSYoungGen: 22031314K->972972K(22609920K)] 22158098K->1099757K(25755648K), 0.1462175 secs] [Times: user=5.13 sys=0.00, real=0.14 secs] 
375.031: [GC (Allocation Failure) [PSYoungGen: 22075564K->953064K(22609920K)] 22202349K->1079849K(25755648K), 0.1428198 secs] [Times: user=4.91 sys=0.00, real=0.15 secs] 
