Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6938.724,754537,23043779,1858844,0.1383000
Young, 6941.906,813597,22961436,1918361,0.1438194
Young, 6945.055,754203,23020953,1859607,0.1345619
Young, 6948.271,774397,22962199,1880481,0.1391620
Young, 6951.474,765696,22983073,1872500,0.1384845
Young, 6954.651,716238,22975092,1823482,0.1309780
Young, 6957.808,757698,22926074,1865286,0.1365055
Young, 6960.941,756511,22967878,1864659,0.1366289
Young, 6964.126,744140,22967251,1852912,0.1362805
Young, 6967.313,817619,22955504,1926839,0.1536678
Young, 6970.490,759958,23029431,1869594,0.1403983
Young, 6973.674,750396,22972186,1860399,0.1343004
Young, 6976.808,718380,22962991,1828792,0.1308727
Young, 6980.014,800905,22931384,1911900,0.1428963
Young, 6983.191,756383,23014492,1867923,0.1380368
Young, 6986.337,809872,22970515,1921899,0.1441452
Young, 6989.542,763141,23024491,1875665,0.1368145
Young, 6992.727,794101,22978257,1907393,0.1442021
Young, 6995.890,810404,23009985,1924120,0.1440975
Young, 6999.038,742985,23026712,1857061,0.1365209
Young, 7002.258,864790,22959653,1979610,0.1525466
Young, 7005.429,732146,23082202,1847726,0.1319972
Young, 7008.642,733097,22950318,1849317,0.1328910
Young, 7011.824,750011,22951909,1866727,0.1377614
Young, 7015.031,824948,22969319,1942024,0.1470147
Young, 7018.158,780418,23044616,1897966,0.1420689
Young, 7021.388,875434,23000558,1993342,0.1520691
Young, 7024.547,698947,23095934,1817239,0.1311415
Young, 7027.622,719964,22919831,1838648,0.1308690
Young, 7030.804,763748,22941240,1883144,0.1384305
Young, 7034.012,686373,22985736,1806489,0.1248363
Young, 7037.203,727469,22909081,1848449,0.1327646
Young, 7040.411,728959,22951041,1850388,0.1311163
Young, 7043.537,824543,22952980,1946428,0.1466152
Young, 7046.722,745590,23049020,1868082,0.1357949
Young, 7049.926,781041,22970674,1903950,0.1402691
Young, 7053.068,744583,23006542,1867995,0.1343260
Young, 7056.214,763028,22970587,1886873,0.1374787
FULL,7058.318,0,1736633,230677,0.2375243,230677,22301
