Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;699675.0
Domain Marker;max-jOPS;5987253.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
5158.0;1017.8104010000025;;;1017.2869370000008
5160.0;;1009.627714000002;1009.0461329999998;
91030.0;6155.041880999997;6145.845451000001;6146.974665999995;6154.904341999994
351842.0;11087.548414999968;;;
352863.0;;;;11099.867305999971
352867.0;;11100.761245000002;11098.261202000023;
366326.0;7859.301906000008;;;7863.287264999992
366327.0;;7795.591876999999;7666.692864000041;
487824.0;6657.809334999998;;;6644.112511000014
487825.0;;6555.81047299999;6446.356839000015;
6090888.0;;;;11622.262451000512
6091908.0;11112.727266999893;;;
6091909.0;;11095.944869000465;11109.279407999478;
6147459.0;5233.217670000158;;;
6192472.0;;;;6113.8900129999965
6206473.0;6208.138829999603;;;
6220992.0;8553.831000000238;;;8588.066107999533
6220993.0;;8467.54243899975;8223.416228000075;
6426049.0;11208.39401199948;11200.130761999637;11200.374549999833;11207.83911800012
6433793.0;5740.246043999679;5737.670955999754;5737.755942000076;5739.528624000028
6473031.0;1004.9020960005;;;1004.4174819998443
6473041.0;;6.081556999124587;6.441147999837995;
