Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6966.289,785253,28389566,3002308,0.1089680
Young, 6969.278,785351,28450756,3002902,0.1113160
Young, 6972.268,712985,28451350,2931007,0.1086790
Young, 6975.434,685515,28379455,2904058,0.1027827
Young, 6978.358,850440,28352506,3069503,0.1162579
Young, 6981.344,737004,28517951,2956578,0.1085000
Young, 6984.366,757572,28405026,2977658,0.1135975
Young, 6987.399,730614,28426106,2951212,0.1061302
Young, 6990.488,661547,28399660,2882665,0.1019192
Young, 6993.391,735406,28331113,2957061,0.1056745
Young, 6996.395,863675,28405509,3085777,0.1310080
Young, 6999.385,799119,28534225,3021742,0.1573592
Young, 7002.427,751910,28470190,2975052,0.1431268
Young, 7005.274,806272,28423500,3029951,0.1372728
Young, 7008.250,789446,28478399,3013716,0.1090981
Young, 7011.301,774949,28462164,2999732,0.1105511
Young, 7014.347,810998,28448180,3036284,0.1190758
Young, 7017.299,771559,28484732,2997374,0.1104295
Young, 7020.315,812672,28445822,3039006,0.1164458
Young, 7023.282,806749,28487454,3033620,0.1194166
Young, 7026.315,731506,28482068,2958872,0.1107417
Young, 7029.285,796118,28407320,3024012,0.1104809
Young, 7032.275,705072,28472460,2933487,0.1081641
Young, 7035.134,907262,28381935,3142996,0.1243517
Young, 7038.009,827570,28591444,3063809,0.1076517
Young, 7041.086,830718,28512257,3067445,0.1161315
Young, 7044.215,738507,28515893,2975714,0.1164663
Young, 7047.216,755396,28424162,2993098,0.1294237
Young, 7050.042,907246,28441546,3174932,0.1508449
Young, 7052.985,907245,28623380,3177323,0.1157997
Young, 7055.883,871515,28625771,3142137,0.1156034
Young, 7058.888,907256,28590585,3178711,0.1457418
Young, 7061.937,854178,28627159,3126144,0.1178860
Young, 7064.917,907238,28574592,3218965,0.1306110
Young, 7067.971,904674,28667413,3216944,0.1214662
Young, 7070.915,836494,28665392,3149292,0.1115168
Young, 7073.982,872285,28597740,3185572,0.1199834
Young, 7076.991,907250,28634020,3234937,0.1379018
Young, 7079.938,907255,28683385,3260598,0.1406549
Young, 7082.883,849291,28709046,3203138,0.1152671
Young, 7085.916,879175,28651586,3233509,0.1190508
Young, 7088.827,833345,28681957,3188272,0.1175632
Young, 7091.810,803779,28636720,3159273,0.1119639
Young, 7094.813,907242,28607721,3283848,0.1211444
Young, 7097.799,799418,28732296,3176745,0.1106539
Young, 7100.641,900925,28625193,3278772,0.1200077
Young, 7103.609,801866,28727220,3180448,0.1095744
Young, 7106.497,907232,28628896,3307662,0.1393604
Young, 7109.431,761628,28756110,3162818,0.1280370
Young, 7112.341,804603,28611266,3206257,0.1184678
Young, 7115.318,706960,28654705,3109182,0.1009534
Young, 7118.365,829108,28557630,3231835,0.1171815
Young, 7121.331,823123,28680283,3226666,0.1522411
Young, 7124.288,873721,28675114,3277991,0.1750830
Young, 7127.486,838199,28726439,3242982,0.1962734
Young, 7130.476,842644,28691430,3247931,0.1892876
Young, 7133.445,907244,28696379,3335202,0.1853742
Young, 7136.133,852420,28783650,3280946,0.1234160
Young, 7139.124,853650,28729394,3282856,0.1191544
Young, 7142.005,831249,28731304,3260983,0.1178821
Young, 7144.978,834288,28709431,3264558,0.1170309
Young, 7148.046,907236,28713006,3420514,0.1364570
Young, 7150.908,785960,28868962,3299998,0.1104000
Young, 7153.935,862550,28748446,3377132,0.1148945
Young, 7156.949,907238,28825580,3422980,0.1257030
Young, 7159.944,860061,28871428,3376291,0.1110158
Young, 7162.863,819682,28824739,3336384,0.1145401
Young, 7165.827,847944,28784832,3365199,0.1224295
Young, 7168.836,907236,28813647,3457411,0.1293635
Young, 7171.755,907256,28905859,3505222,0.1293436
Young, 7174.663,907260,28953670,3510771,0.1246649
Young, 7177.503,793356,28959219,3397563,0.1261316
Young, 7180.491,811417,28846011,3416127,0.1459981
Young, 7183.485,894701,28864575,3499931,0.1736495
Young, 7186.357,893554,28948379,3499312,0.1712111
Young, 7189.267,848703,28947760,3454949,0.1728774
Young, 7191.993,890573,28903397,3497587,0.1441978
Young, 7194.951,828213,28946035,3435732,0.1110390
Young, 7197.693,823861,28884180,3431915,0.1132845
Young, 7200.556,771875,28880363,3380570,0.1204066
Young, 7203.478,794113,28829018,3403343,0.1324675
Young, 7206.375,792109,28851791,3401876,0.1344186
Young, 7209.228,747669,28850324,3357995,0.1231685
Young, 7212.094,812098,28806443,3423088,0.1149729
Young, 7215.127,769718,28871536,3381444,0.1126595
Young, 7217.974,854106,28829892,3466625,0.1365401
Young, 7220.866,824766,28915073,3437941,0.1423679
Young, 7223.796,859806,28886389,3473508,0.1447769
Young, 7226.855,755243,28921956,3369506,0.1198940
Young, 7229.580,716993,28817954,3331808,0.1086796
Young, 7232.536,743227,28780256,3358585,0.1052056
Young, 7235.494,747233,28807033,3363087,0.1050578
Young, 7238.423,809090,28811535,3425464,0.1155429
