Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 395463368k(390013624k free), swap 16318460k(16318460k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=31138512896 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=31138512896 -XX:MaxNewSize=27917287424 -XX:MaxTenuringThreshold=15 -XX:NewSize=27917287424 -XX:ParallelGCThreads=56 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+PrintTenuringDistribution -XX:SurvivorRatio=28 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
9.160: [GC (Allocation Failure) [PSYoungGen: 25448448K->12837K(26355712K)] 25448448K->12940K(29501440K), 0.0222968 secs] [Times: user=0.30 sys=0.01, real=0.02 secs] 
12.691: [GC (System.gc()) [PSYoungGen: 24557532K->9111K(26355712K)] 24557635K->9222K(29501440K), 0.0263772 secs] [Times: user=0.73 sys=0.00, real=0.02 secs] 
12.717: [Full GC (System.gc()) [PSYoungGen: 9111K->0K(26355712K)] [ParOldGen: 110K->8229K(3145728K)] 9222K->8229K(29501440K), [Metaspace: 16775K->16775K(1064960K)], 0.0499423 secs] [Times: user=0.90 sys=0.07, real=0.05 secs] 
21.287: [GC (Allocation Failure) [PSYoungGen: 25448448K->852401K(26355712K)] 25456677K->860646K(29501440K), 0.0703291 secs] [Times: user=3.46 sys=0.01, real=0.07 secs] 
36.163: [GC (Allocation Failure) [PSYoungGen: 26300849K->853350K(26355712K)] 26309094K->861603K(29501440K), 0.0753996 secs] [Times: user=3.19 sys=0.01, real=0.07 secs] 
99.986: [GC (System.gc()) [PSYoungGen: 23425341K->99267K(26355712K)] 23433594K->107529K(29501440K), 0.0187944 secs] [Times: user=0.69 sys=0.00, real=0.02 secs] 
100.005: [Full GC (System.gc()) [PSYoungGen: 99267K->0K(26355712K)] [ParOldGen: 8261K->105767K(3145728K)] 107529K->105767K(29501440K), [Metaspace: 20033K->20022K(1067008K)], 0.0943894 secs] [Times: user=2.68 sys=0.04, real=0.09 secs] 
219.383: [GC (Allocation Failure) [PSYoungGen: 25448448K->898232K(26355712K)] 25554215K->1004072K(29501440K), 0.0816941 secs] [Times: user=4.34 sys=0.00, real=0.08 secs] 
233.312: [GC (Allocation Failure) [PSYoungGen: 26346680K->897266K(26355712K)] 26452520K->1003113K(29501440K), 0.0776432 secs] [Times: user=3.73 sys=0.00, real=0.07 secs] 
242.369: [GC (Allocation Failure) [PSYoungGen: 26345714K->892665K(26355712K)] 26451561K->998521K(29501440K), 0.0795534 secs] [Times: user=3.70 sys=0.00, real=0.08 secs] 
253.754: [GC (Allocation Failure) [PSYoungGen: 26341113K->907232K(26355712K)] 26446969K->1017232K(29501440K), 0.0808068 secs] [Times: user=3.99 sys=0.00, real=0.08 secs] 
262.762: [GC (Allocation Failure) [PSYoungGen: 26355680K->907235K(26355712K)] 26465680K->1023899K(29501440K), 0.0807910 secs] [Times: user=4.04 sys=0.00, real=0.08 secs] 
270.142: [GC (Allocation Failure) [PSYoungGen: 26355683K->907252K(26355712K)] 26472347K->1050436K(29501440K), 0.0853866 secs] [Times: user=4.27 sys=0.00, real=0.08 secs] 
