Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
320.720: [Full GC (Ergonomics) [PSYoungGen: 907251K->0K(26355712K)] [ParOldGen: 2916359K->2223077K(3145728K)] 3823610K->2223077K(29501440K), [Metaspace: 22116K->22116K(1069056K)], 1.2010063 secs] [Times: user=39.33 sys=0.15, real=1.20 secs] 
325.548: [GC (Allocation Failure) [PSYoungGen: 25448448K->907253K(26355712K)] 27671525K->3586595K(29501440K), 0.2064848 secs] [Times: user=11.12 sys=0.00, real=0.21 secs] 
325.755: [Full GC (Ergonomics) [PSYoungGen: 907253K->0K(26355712K)] [ParOldGen: 2679342K->2124747K(3145728K)] 3586595K->2124747K(29501440K), [Metaspace: 22116K->22116K(1069056K)], 1.0436614 secs] [Times: user=32.41 sys=0.00, real=1.04 secs] 
329.339: [GC (Allocation Failure) [PSYoungGen: 25448448K->907249K(26355712K)] 27573195K->3153204K(29501440K), 0.1763111 secs] [Times: user=8.70 sys=0.00, real=0.18 secs] 
332.081: [GC (Allocation Failure) [PSYoungGen: 26355697K->907244K(26355712K)] 28601652K->3228319K(29501440K), 0.1663933 secs] [Times: user=8.49 sys=0.01, real=0.17 secs] 
334.767: [GC (Allocation Failure) [PSYoungGen: 26355692K->907236K(26355712K)] 28676767K->3797192K(29501440K), 0.2337855 secs] [Times: user=12.33 sys=0.00, real=0.23 secs] 
335.001: [Full GC (Ergonomics) [PSYoungGen: 907236K->0K(26355712K)] [ParOldGen: 2889955K->1956134K(3145728K)] 3797192K->1956134K(29501440K), [Metaspace: 22116K->22116K(1069056K)], 1.1943254 secs] [Times: user=50.23 sys=0.03, real=1.20 secs] 
339.651: [GC (Allocation Failure) [PSYoungGen: 25448448K->907248K(26355712K)] 27404582K->3051396K(29501440K), 0.2716334 secs] [Times: user=6.63 sys=0.00, real=0.28 secs] 
341.458: [GC (System.gc()) [PSYoungGen: 10446763K->742022K(26355712K)] 12590911K->2886178K(29501440K), 0.1076662 secs] [Times: user=4.77 sys=0.01, real=0.11 secs] 
341.566: [Full GC (System.gc()) [PSYoungGen: 742022K->0K(26355712K)] [ParOldGen: 2144155K->166855K(3145728K)] 2886178K->166855K(29501440K), [Metaspace: 22327K->22327K(1069056K)], 0.1595247 secs] [Times: user=5.49 sys=0.01, real=0.16 secs] 
