Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;25338.0
Domain Marker;max-jOPS;110730.0
Domain Marker;Last Success for SLAs;36910.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
1420;96.20886560237797
2839;97.08749553098717
4259;97.72369377290882
5678;97.93937406227091
7098;98.23990713281385
8518;98.18354164247253
9937;98.29247615211307
11357;98.48555189034587
12776;98.66458127937558
14196;98.58375183326042
15616;98.62756850248506
17035;98.63659073745941
18455;98.65320750188627
19875;95.95409461846133
21294;89.46879113017674
22714;84.2642737635586
24133;79.01238384046796
25553;74.83953215218175
26973;70.82771106714384
28392;67.42501275597881
29812;64.29666505785215
31231;61.20892304312583
32651;58.433735442286604
34071;55.82375677962316
35490;53.98743211510591
36910;51.49104059172752
38329;49.65040943359589
39749;47.99153856473142
41169;46.1941675245132
42588;44.80722119795572
44008;42.99173296680512
45428;42.020460752357444
46847;40.65276669214427
48267;39.21844363495967
49686;38.2001257428388
51106;37.266580643968155
52526;36.0673502808945
53945;35.26763485042926
55365;34.1279519087052
56784;33.44296451335826
58204;32.45154707153224
59624;31.792286277250753
61043;30.915787469875955
62463;30.241560480670895
63882;29.769393785890916
65302;28.816941101719674
66722;28.182700697210347
68141;27.411410541109557
69561;26.95419263837627
70980;26.31491679856724
72400;25.759240888671453
73820;25.319286635560204
75239;24.635540524180616
76659;24.1298844346585
78079;23.514109941312412
79498;23.196923383974852
80918;22.370942433987317
82337;21.9221154441295
83757;21.385971389050066
85177;21.305676349697393
86596;20.69913946491452
88016;19.63449329893035
89435;19.38371428658339
90855;19.204289414084137
92275;18.251558836331856
93694;18.049867974313408
95114;16.961217592911265
96533;16.61648419770606
97953;15.838364305884028
99373;14.957759054350479
100792;14.119460238420706
102212;12.863844369912378
103632;12.753597329270034
105051;12.018059427517967
106471;10.127464634984074
107890;7.3358532835827575
109310;6.864848641514954
110730;5.555617308409287
112149;0.0010620752657020285
113569;7.924175098568929E-4
114988;0.0011230210076456605
116408;6.707226241848261E-4
