
===================================
Domain Marker;critical-jOPS;25338.0
Domain Marker;max-jOPS;110730.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
1420.0;800.0;1600.0;2100.0;2400.0;4400.0;97000.0
2839.0;600.0;1700.0;2300.0;2500.0;3500.0;24000.0
4259.0;700.0;1900.0;2500.0;2700.0;3500.0;111000.0
5678.0;600.0;2100.0;2800.0;3000.0;3600.0;98000.0
7098.0;700.0;2400.0;3100.0;3300.0;3900.0;200000.0
8518.0;600.0;2600.0;3400.0;3600.0;4300.0;203000.0
9937.0;600.0;2800.0;3700.0;3900.0;4600.0;189000.0
11357.0;700.0;3000.0;4000.0;4300.0;5200.0;131000.0
12776.0;600.0;3300.0;4300.0;4600.0;5500.0;126000.0
14196.0;600.0;3500.0;4600.0;4900.0;8500.0;134000.0
15616.0;600.0;3700.0;5000.0;5300.0;9900.0;221000.0
17035.0;700.0;3900.0;5400.0;5700.0;9400.0;213000.0
18455.0;700.0;4100.0;5700.0;6000.0;27000.0;213000.0
19875.0;700.0;4200.0;5900.0;6200.0;27000.0;223000.0
21294.0;600.0;4200.0;6000.0;6400.0;27000.0;211000.0
22714.0;700.0;4300.0;6000.0;6500.0;25000.0;145000.0
24133.0;700.0;4300.0;6100.0;6700.0;37000.0;233000.0
25553.0;700.0;4300.0;6300.0;7100.0;41000.0;147000.0
26973.0;700.0;4400.0;6500.0;7600.0;60000.0;138000.0
28392.0;700.0;4500.0;7000.0;8300.0;73000.0;237000.0
29812.0;700.0;4500.0;6900.0;8100.0;64000.0;148000.0
31231.0;700.0;4500.0;7400.0;9800.0;92000.0;279000.0
32651.0;700.0;4500.0;7900.0;15100.0;94000.0;215000.0
34071.0;600.0;4600.0;8500.0;19900.0;95000.0;257000.0
35490.0;700.0;4700.0;8500.0;21000.0;93000.0;218000.0
36910.0;700.0;4700.0;9100.0;26000.0;87000.0;218000.0
38329.0;700.0;4800.0;11900.0;42000.0;103000.0;222000.0
39749.0;700.0;4800.0;11400.0;44000.0;102000.0;195000.0
41169.0;600.0;4900.0;15900.0;46000.0;110000.0;292000.0
42588.0;700.0;5100.0;27000.0;53000.0;108000.0;282000.0
44008.0;700.0;5300.0;32000.0;59000.0;121000.0;398000.0
45428.0;700.0;5200.0;32000.0;56000.0;109000.0;312000.0
46847.0;700.0;5400.0;36000.0;60000.0;114000.0;290000.0
48267.0;700.0;5400.0;37000.0;62000.0;122000.0;305000.0
