Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
483.766: [GC (Allocation Failure) [PSYoungGen: 1495919K->6895K(1536512K)] 1591101K->102789K(2060800K), 0.0124884 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
502.777: [GC (Allocation Failure) [PSYoungGen: 1505007K->6782K(1534464K)] 1600901K->103284K(2058752K), 0.0489858 secs] [Times: user=0.49 sys=0.00, real=0.05 secs] 
534.980: [GC (Allocation Failure) [PSYoungGen: 1504894K->9374K(1541120K)] 1601396K->106484K(2065408K), 0.0413540 secs] [Times: user=0.10 sys=0.01, real=0.04 secs] 
561.623: [GC (Allocation Failure) [PSYoungGen: 1516190K->8638K(1538560K)] 1613300K->106740K(2062848K), 0.0327874 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
596.823: [GC (Allocation Failure) [PSYoungGen: 1515454K->7550K(1544704K)] 1613556K->106268K(2068992K), 0.0251352 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
645.701: [GC (Allocation Failure) [PSYoungGen: 1522558K->7791K(1543168K)] 1621276K->106797K(2067456K), 0.0339384 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
648.033: [GC (System.gc()) [PSYoungGen: 96114K->2479K(1546752K)] 195120K->105165K(2071040K), 0.0167887 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
648.050: [Full GC (System.gc()) [PSYoungGen: 2479K->0K(1546752K)] [ParOldGen: 102686K->92923K(524288K)] 105165K->92923K(2071040K), [Metaspace: 20912K->20912K(1069056K)], 0.6719458 secs] [Times: user=6.25 sys=0.06, real=0.67 secs] 
669.488: [GC (Allocation Failure) [PSYoungGen: 1520128K->9710K(1546240K)] 1613051K->102633K(2070528K), 0.0085039 secs] [Times: user=0.16 sys=0.01, real=0.00 secs] 
679.126: [GC (Allocation Failure) [PSYoungGen: 1529838K->6415K(1549312K)] 1622761K->102279K(2073600K), 0.0105259 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
688.576: [GC (Allocation Failure) [PSYoungGen: 1531151K->6750K(1548288K)] 1627015K->103293K(2072576K), 0.0473476 secs] [Times: user=0.50 sys=0.00, real=0.05 secs] 
698.505: [GC (Allocation Failure) [PSYoungGen: 1531486K->6671K(1551872K)] 1628029K->103917K(2076160K), 0.0132571 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
731.751: [GC (System.gc()) [PSYoungGen: 1463415K->5711K(1550848K)] 1560662K->103700K(2075136K), 0.0285008 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
731.780: [Full GC (System.gc()) [PSYoungGen: 5711K->0K(1550848K)] [ParOldGen: 97988K->91156K(524288K)] 103700K->91156K(2075136K), [Metaspace: 20959K->20959K(1069056K)], 0.9125921 secs] [Times: user=9.22 sys=0.08, real=0.91 secs] 
738.924: [GC (System.gc()) [PSYoungGen: 3614K->611K(1551872K)] 94770K->91775K(2076160K), 0.0087164 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
738.933: [Full GC (System.gc()) [PSYoungGen: 611K->0K(1551872K)] [ParOldGen: 91164K->88193K(524288K)] 91775K->88193K(2076160K), [Metaspace: 20998K->20998K(1069056K)], 0.3406958 secs] [Times: user=11.31 sys=0.00, real=0.34 secs] 
757.923: [GC (Allocation Failure) [PSYoungGen: 1531904K->7969K(1552384K)] 1620097K->96170K(2076672K), 0.0097826 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
770.960: [GC (Allocation Failure) [PSYoungGen: 1539873K->6369K(1554432K)] 1628074K->97432K(2078720K), 0.0051778 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
784.034: [GC (Allocation Failure) [PSYoungGen: 1541345K->5825K(1553408K)] 1632408K->97208K(2077696K), 0.0069981 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
797.204: [GC (Allocation Failure) [PSYoungGen: 1540801K->6145K(1556480K)] 1632184K->97736K(2080768K), 0.0060096 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
810.314: [GC (Allocation Failure) [PSYoungGen: 1545217K->6113K(1555456K)] 1636808K->97832K(2079744K), 0.0033135 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
823.524: [GC (Allocation Failure) [PSYoungGen: 1545185K->6209K(1558016K)] 1636904K->98064K(2082304K), 0.0043221 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
836.697: [GC (Allocation Failure) [PSYoungGen: 1548353K->6273K(1556992K)] 1640208K->98280K(2081280K), 0.0048161 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
849.848: [GC (Allocation Failure) [PSYoungGen: 1548417K->6305K(1559552K)] 1640424K->98424K(2083840K), 0.0041002 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
863.059: [GC (Allocation Failure) [PSYoungGen: 1551521K->5921K(1558528K)] 1643640K->98192K(2082816K), 0.0044871 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
876.336: [GC (Allocation Failure) [PSYoungGen: 1551137K->6113K(1560576K)] 1643408K->98464K(2084864K), 0.0063572 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
889.605: [GC (Allocation Failure) [PSYoungGen: 1553889K->5985K(1560064K)] 1646240K->98456K(2084352K), 0.0066510 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
902.857: [GC (Allocation Failure) [PSYoungGen: 1553761K->6305K(1561088K)] 1646232K->98888K(2085376K), 0.0051337 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
916.091: [GC (Allocation Failure) [PSYoungGen: 1555617K->6177K(1561088K)] 1648200K->98880K(2085376K), 0.0059254 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
1018.071: [GC (Allocation Failure) [PSYoungGen: 1555489K->6063K(1562112K)] 1648192K->98823K(2086400K), 0.0116694 secs] [Times: user=0.25 sys=0.00, real=0.01 secs] 
1099.924: [GC (Allocation Failure) [PSYoungGen: 1556911K->5199K(1561600K)] 1649671K->99239K(2085888K), 0.0116851 secs] [Times: user=0.24 sys=0.00, real=0.01 secs] 
1149.665: [GC (Allocation Failure) [PSYoungGen: 1556047K->5199K(1562624K)] 1650087K->99519K(2086912K), 0.0107567 secs] [Times: user=0.22 sys=0.00, real=0.01 secs] 
