Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
329.959: [GC (System.gc()) [PSYoungGen: 13287836K->638204K(22609920K)] 13744743K->1096847K(25755648K), 0.1215580 secs] [Times: user=4.03 sys=0.00, real=0.12 secs] 
330.081: [Full GC (System.gc()) [PSYoungGen: 638204K->0K(22609920K)] [ParOldGen: 458643K->126605K(3145728K)] 1096847K->126605K(25755648K), [Metaspace: 22255K->22247K(1069056K)], 0.1292835 secs] [Times: user=3.11 sys=0.03, real=0.13 secs] 
349.561: [GC (Allocation Failure) [PSYoungGen: 21102592K->922898K(22609920K)] 21229197K->1049511K(25755648K), 0.1490695 secs] [Times: user=5.19 sys=0.00, real=0.14 secs] 
356.557: [GC (Allocation Failure) [PSYoungGen: 22025490K->926278K(22609920K)] 22152103K->1052891K(25755648K), 0.1383509 secs] [Times: user=4.88 sys=0.00, real=0.14 secs] 
361.739: [GC (Allocation Failure) [PSYoungGen: 22028870K->956129K(22609920K)] 22155483K->1082742K(25755648K), 0.1434708 secs] [Times: user=5.05 sys=0.00, real=0.15 secs] 
366.281: [GC (Allocation Failure) [PSYoungGen: 22058721K->967920K(22609920K)] 22185334K->1094533K(25755648K), 0.1454020 secs] [Times: user=5.09 sys=0.00, real=0.15 secs] 
370.411: [GC (Allocation Failure) [PSYoungGen: 22070512K->992211K(22609920K)] 22197125K->1118824K(25755648K), 0.1486836 secs] [Times: user=5.26 sys=0.00, real=0.15 secs] 
374.036: [GC (Allocation Failure) [PSYoungGen: 22094803K->1033274K(22609920K)] 22221416K->1159887K(25755648K), 0.1562980 secs] [Times: user=5.45 sys=0.01, real=0.15 secs] 
377.766: [GC (Allocation Failure) [PSYoungGen: 22135866K->1024810K(22609920K)] 22262479K->1151423K(25755648K), 0.1555091 secs] [Times: user=5.44 sys=0.00, real=0.15 secs] 
381.091: [GC (Allocation Failure) [PSYoungGen: 22127402K->998203K(22609920K)] 22254015K->1124816K(25755648K), 0.1525293 secs] [Times: user=5.34 sys=0.00, real=0.15 secs] 
384.386: [GC (Allocation Failure) [PSYoungGen: 22100795K->1074141K(22609920K)] 22227408K->1200754K(25755648K), 0.1647851 secs] [Times: user=5.76 sys=0.01, real=0.17 secs] 
