Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;822178.0
Domain Marker;max-jOPS;5876987.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
5046.0;1016.5426050000024;;;1016.5404430000017
5050.0;;1010.2882099999988;1010.6508050000011;
92891.0;6179.504089999988;;;6179.380186000009
92892.0;;6168.258786999999;6169.497644000003;
354308.0;8734.120857000002;;;8754.472165000043
354309.0;;8486.37552500004;8544.942202000006;
503999.0;10946.193736999994;;;10945.630023000005
504000.0;;10936.939401999989;10937.595626000024;
608093.0;8830.266335999942;8685.747581999982;8705.747765999986;8841.34886899998
615417.0;5320.051439000061;5316.405272000004;5316.379726000014;5319.678477999987
5932431.0;10895.979996000417;;;
5933463.0;;10887.317905000411;10901.715247999877;
5933466.0;;;;10913.039235000499
6061467.0;5064.796850999817;;;
6062500.0;;5061.012571000494;5063.50096999947;
6062512.0;;;;5085.838578999974
6070481.0;;;;5942.816386000253
6076656.0;5164.592915999703;;;
6077661.0;;5145.416248000227;5137.427645999938;
6077881.0;;;;5368.524076000787
6084759.0;5849.909458000213;;;
6085767.0;;5835.410403000191;5828.503419000655;
6087432.0;;;;7503.4696850003675
6096827.0;8362.823613999411;;;
6097832.0;;8352.813981000334;8347.854969999753;
6097836.0;;;;8360.032191999257
6106265.0;7416.79696900025;;;
6107277.0;;7376.451247999445;7366.697489999235;
6110361.0;;;;10464.522712999955
6118780.0;7396.90509200003;;;
6119789.0;;7399.122279999778;7391.123319999315;
6122037.0;;;;9649.785424999893
6129410.0;;;;5330.617748999968
6137290.0;;;;5831.034015999176
6138298.0;5645.478012000211;;;
6138313.0;;5647.104725999758;5652.536826999858;
6144367.0;;;;5052.218373999931
6155997.0;;;;9604.52372699976
6157257.0;;8059.21566100046;7295.222351000644;
6161486.0;12287.84346999973;;;5484.724213000387
6161497.0;;;5002.735417999327;
6169476.0;;;;7994.789455000311
6170486.0;;7962.883260999806;7974.059006999247;
6171729.0;9220.269531999715;;;
6179930.0;;;;9449.473524999805
6180956.0;8225.019237999804;8217.590974999592;8221.972679999657;
6193383.0;;;;11425.229675999843
6193437.0;;8975.38243399933;8994.447711999528;
6197031.0;12614.092721000314;;;
6206034.0;;;;11323.63792499993
6207057.0;;8998.060250999406;8988.416554000229;
6209735.0;11686.930862000212;;;
6222087.0;;;;15043.957050000317
6223098.0;;12351.124787999317;12351.770317999646;
6225169.0;14431.694685999304;;;
6238201.0;;;;15104.683207999915
6239240.0;;12649.938384000212;12663.23783800006;
6243785.0;17214.735408999957;;;
6244804.0;;5571.938130999915;5566.522047000006;
6254990.0;;;;15766.652375999838
6256003.0;11190.967083999887;;;
6256019.0;;11204.3097129995;11213.999433999881;
6276047.0;20043.70070100017;19848.702118000016;19947.769327000715;20044.3750830004
6456639.0;10500.301783999428;10492.081061000004;10492.338934000582;10500.324130000547
6463885.0;5240.326143000275;5239.28008900024;5238.229607000016;5241.52112200018
6503209.0;1004.742723999545;;;1004.8332960000262
6503216.0;;4.813560999929905;5.232792999595404;
