Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;1017765.0
Domain Marker;max-jOPS;7256660.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
4987.0;1019.118180999998;;;1019.0025719999976
4989.0;;1010.8200500000021;1010.9046939999971;
92143.0;6495.672162000003;;;6495.297412999993
92144.0;;6487.227847000002;6488.153790000011;
334937.0;8905.950679000001;;;9352.852367999963
334938.0;;8865.568046999979;8745.319210999995;
440521.0;10948.161552999984;10938.738471999997;10938.676213999977;10948.437378000002
669540.0;8727.190391000011;8520.619699000032;8571.936184999999;8759.275450000074
804279.0;10452.42926200002;;;9649.226812000037
804280.0;;9517.752304999973;9527.288532000035;
811827.0;5544.079432999948;;;5544.078593999962
811828.0;;5541.894140999997;5541.493323999923;
7250860.0;10046.578651000746;;;
7251877.0;;;;10061.227010999806
7251900.0;;10082.302577000111;10048.123184000142;
7290756.0;;;;10503.652991000563
7291786.0;10507.183120000176;;;
7292046.0;;10776.54407900013;10506.53279400058;
7346552.0;11475.181983999908;;;
7347585.0;;;;10714.077758000232
7347591.0;;11485.833747999743;11470.329385000281;
7417162.0;5463.4225140009075;;;
7424970.0;5767.155739000067;;;
7426007.0;;;;5769.069753000513
7426015.0;;5792.898078000173;5779.553167000413;
7437512.0;;;;5235.017943000421
7438522.0;;5203.862757000141;5217.334115000442;
7439410.0;6108.317111999728;;;
7452265.0;5030.261913000606;;;
7475500.0;6297.517069000751;;;
7476533.0;;;;5046.520475999452
7476534.0;;5053.4137570001185;5082.952920000069;
7482694.0;5150.480874000117;;;
7499069.0;7219.153206000105;;;
7506559.0;5457.400510000065;;;
7514609.0;6011.707798999734;;;
7525316.0;8379.082543999888;;;
7526340.0;;6169.608283000067;6179.579362999648;
7526352.0;;;;6198.101823000237
7531402.0;;;;5049.987052000128
7532413.0;;5044.504336999729;5056.422527000308;
7536728.0;9374.669002000242;;;
7537765.0;;5337.413666999899;5351.685176999308;
7537776.0;;;;5358.674754999578
7543818.0;5040.715103999712;;;
7557652.0;12781.708862000145;12690.404145999812;12641.667472000234;12820.853182000108
7740104.0;11658.053304999135;11649.62132799998;11649.620922999457;11657.788929999806
7747717.0;5607.971103999764;5605.473349000327;5605.7586819995195;5608.059043999761
7787101.0;1005.855893000029;;;1005.8407880002633
7787110.0;;6.035993999801576;5.1942640002816916;
