Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;952509.0
Domain Marker;max-jOPS;6902123.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
4328.0;1024.3457070000004;;;1024.3348130000013
4341.0;;1024.347292999999;1023.7007799999992;
89621.0;5312.066607000001;;;5311.997099
89622.0;;5299.53497600001;5298.989459000004;
316446.0;5254.370779000048;;;5254.474580999988
316447.0;;5164.043720000016;5105.700116000022;
422393.0;8469.97909899999;8457.20743900002;8457.323809000023;8469.876642000047
655635.0;6237.65963400004;;;6237.974219000083
655636.0;;6100.662217000034;6096.717002999969;
736939.0;5406.245144000044;;;5400.513772999984
736940.0;;5308.977328999899;5280.952128000092;
7280772.0;;5943.597369000316;5970.426605000161;
7280774.0;6063.059430000372;;;6065.58612300083
7464852.0;8620.313010999933;;;8620.33574800007
7464853.0;;8608.459192999639;8608.633512999862;
7510369.0;1006.9274399997666;;;1006.9301519999281
7510381.0;;7.668785000219941;7.553259999491274;
