Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 5635.426,782861,29039854,3512471,0.1100647
Young, 5639.181,783389,28960919,3513735,0.1069078
Young, 5642.834,773983,28962183,3504929,0.1096281
Young, 5646.579,773337,28953377,3504827,0.1059197
Young, 5650.433,823949,28953275,3556239,0.1127336
Young, 5654.070,907254,29004687,3799880,0.1529478
Young, 5657.699,907259,29248328,3851781,0.1244556
Young, 5661.254,838740,29300229,3783967,0.1083836
Young, 5664.943,861525,29232415,3807527,0.1107602
Young, 5668.753,851787,29255975,3798325,0.1102703
Young, 5672.407,832470,29246773,3779512,0.1099108
Young, 5676.021,907255,29227960,3911281,0.1295013
Young, 5679.633,907260,29359729,3930463,0.1265642
Young, 5683.323,736008,29378911,3759651,0.1014838
Young, 5686.954,907261,29208099,3991631,0.1277090
Young, 5690.768,762938,26984558,2299048,0.1166911
Young, 5694.299,708711,27747496,2244821,0.1006642
Young, 5697.993,876994,27693269,2413105,0.1152037
Young, 5701.689,888122,27861553,2424232,0.1218887
Young, 5705.384,795304,27872680,2331414,0.1109883
Young, 5709.099,891786,27779862,2427896,0.1361679
Young, 5712.814,775438,27876344,2311549,0.1201660
Young, 5716.269,778195,27759997,2314305,0.1095355
Young, 5719.953,799663,27762753,2335773,0.1118937
Young, 5723.655,816239,27784221,2352349,0.1142544
Young, 5727.368,834318,27800797,2370428,0.1144123
Young, 5730.979,830953,27818876,2367063,0.1114546
Young, 5735.093,802423,27815511,2338533,0.1094517
Young, 5738.056,782078,27786981,2318189,0.1078148
Young, 5741.685,773315,27766637,2309425,0.1047973
Young, 5745.152,747257,27757873,2333735,0.1117224
Young, 5748.826,731022,27782183,2319021,0.1041115
Young, 5752.549,732931,27767469,2322138,0.1014526
Young, 5755.823,774959,27770586,2365158,0.1051603
Young, 5759.653,738827,27813606,2329818,0.1044157
Young, 5763.324,722681,27778266,2314216,0.1013624
Young, 5766.756,779197,27762664,2371508,0.1041983
Young, 5770.285,769962,27819956,2363169,0.1022112
Young, 5773.944,810421,27811617,2404140,0.1073444
Young, 5777.534,809644,27852588,2403930,0.1175974
Young, 5781.383,766101,27852378,2361204,0.1033489
Young, 5784.801,840724,27809652,2436371,0.1111201
Young, 5788.431,907245,27884819,2519532,0.1217738
Young, 5792.581,869800,27967980,2482879,0.1262789
Young, 5795.916,907237,27931327,2568892,0.1267229
Young, 5799.391,885472,28017340,2547607,0.1140532
Young, 5803.310,853778,27996055,2516504,0.1089429
Young, 5807.482,837594,27964952,2500929,0.1066691
Young, 5810.211,907252,27949377,2645355,0.1328002
Young, 5813.603,802952,28093803,2541590,0.1045034
Young, 5817.062,885226,27990038,2624488,0.1133957
Young, 5820.573,833877,28072936,2573676,0.1107017
Young, 5824.053,849027,28022124,2589369,0.1110531
Young, 5827.649,740989,28037817,2481940,0.1060011
Young, 5831.455,766903,27930388,2508406,0.1019383
Young, 5834.860,852664,27956854,2594750,0.1230059
Young, 5838.440,810110,28043198,2552716,0.1180695
Young, 5842.026,887304,28001164,2630607,0.1188176
Young, 5845.555,793716,28079055,2537619,0.1133141
Young, 5850.295,907260,27986067,2662875,0.1192218
Young, 5853.163,764757,28111323,2521067,0.1228550
Young, 5856.307,826593,27969515,2583480,0.1103250
Young, 5859.912,847368,28031928,2604774,0.1122526
Young, 5863.548,885458,28053222,2643665,0.1174283
Young, 5867.035,786958,28092113,2545685,0.1065450
Young, 5870.572,842653,27994133,2601947,0.1105861
Young, 5874.128,907254,28050395,2682620,0.1212136
Young, 5877.775,863897,28131068,2639759,0.1271166
Young, 5881.301,907262,28088207,2691116,0.1140191
Young, 5884.799,883521,28139564,2667967,0.1108615
Young, 5888.343,849104,28116415,2634054,0.1093864
Young, 5891.988,841975,28082502,2627470,0.1115724
Young, 5896.091,907244,28075918,2759731,0.1307478
Young, 5899.320,797717,28208179,2650803,0.1047588
Young, 5902.507,907238,28099251,2885252,0.1385787
Young, 5906.189,899072,28333700,2877567,0.1134588
Young, 5909.712,818444,28326015,2797523,0.1100919
Young, 5913.041,840868,28245971,2820547,0.1077220
