Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140512084k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=27917287424 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=27917287424 -XX:MaxNewSize=24696061952 -XX:MaxTenuringThreshold=15 -XX:NewSize=24696061952 -XX:ParallelGCThreads=36 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=14 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
10.440: [GC (Allocation Failure) [PSYoungGen: 21102592K->3640K(22609920K)] 21102592K->3726K(25755648K), 0.0051850 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
10.449: [GC (Allocation Failure) [PSYoungGen: 21106232K->2512K(22609920K)] 21106318K->2606K(25755648K), 0.0082742 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
13.333: [GC (Allocation Failure) [PSYoungGen: 21105104K->675974K(22609920K)] 21105198K->676092K(25755648K), 0.1059401 secs] [Times: user=3.31 sys=0.01, real=0.11 secs] 
14.764: [GC (System.gc()) [PSYoungGen: 1960174K->8103K(22609920K)] 1960292K->8229K(25755648K), 0.0100536 secs] [Times: user=0.13 sys=0.01, real=0.01 secs] 
14.775: [Full GC (System.gc()) [PSYoungGen: 8103K->0K(22609920K)] [ParOldGen: 126K->7555K(3145728K)] 8229K->7555K(25755648K), [Metaspace: 16837K->16837K(1064960K)], 0.0432628 secs] [Times: user=0.48 sys=0.04, real=0.05 secs] 
100.840: [GC (System.gc()) [PSYoungGen: 5750524K->98541K(22609920K)] 5758079K->106104K(25755648K), 0.0234821 secs] [Times: user=0.57 sys=0.00, real=0.02 secs] 
100.864: [Full GC (System.gc()) [PSYoungGen: 98541K->0K(22609920K)] [ParOldGen: 7563K->104796K(3145728K)] 106104K->104796K(25755648K), [Metaspace: 20033K->20029K(1067008K)], 0.1019036 secs] [Times: user=2.41 sys=0.03, real=0.10 secs] 
227.183: [GC (Allocation Failure) [PSYoungGen: 21102592K->884830K(22609920K)] 21207388K->989634K(25755648K), 0.1522394 secs] [Times: user=5.31 sys=0.00, real=0.15 secs] 
247.003: [GC (Allocation Failure) [PSYoungGen: 21987422K->887398K(22609920K)] 22092226K->992274K(25755648K), 0.1351570 secs] [Times: user=4.74 sys=0.00, real=0.13 secs] 
258.021: [GC (Allocation Failure) [PSYoungGen: 21989990K->903847K(22609920K)] 22094866K->1008732K(25755648K), 0.1395190 secs] [Times: user=4.81 sys=0.00, real=0.14 secs] 
265.626: [GC (Allocation Failure) [PSYoungGen: 22006439K->935251K(22609920K)] 22111324K->1040144K(25755648K), 0.1433143 secs] [Times: user=5.03 sys=0.00, real=0.14 secs] 
271.562: [GC (Allocation Failure) [PSYoungGen: 22037843K->947718K(22609920K)] 22142736K->1052619K(25755648K), 0.1425619 secs] [Times: user=4.96 sys=0.00, real=0.15 secs] 
276.335: [GC (Allocation Failure) [PSYoungGen: 22050310K->967637K(22609920K)] 22155211K->1072545K(25755648K), 0.1466363 secs] [Times: user=5.17 sys=0.00, real=0.15 secs] 
280.354: [GC (Allocation Failure) [PSYoungGen: 22070229K->985283K(22609920K)] 22175137K->1090200K(25755648K), 0.1471656 secs] [Times: user=5.17 sys=0.01, real=0.15 secs] 
283.905: [GC (Allocation Failure) [PSYoungGen: 22087875K->1000759K(22609920K)] 22192792K->1105675K(25755648K), 0.1514294 secs] [Times: user=5.31 sys=0.00, real=0.16 secs] 
287.034: [GC (Allocation Failure) [PSYoungGen: 22103351K->1042164K(22609920K)] 22208267K->1147088K(25755648K), 0.1574170 secs] [Times: user=5.58 sys=0.00, real=0.16 secs] 
290.231: [GC (Allocation Failure) [PSYoungGen: 22144756K->1076577K(22609920K)] 22249680K->1181502K(25755648K), 0.1636231 secs] [Times: user=5.72 sys=0.01, real=0.16 secs] 
293.385: [GC (Allocation Failure) [PSYoungGen: 22179169K->1104271K(22609920K)] 22284094K->1209203K(25755648K), 0.1672689 secs] [Times: user=5.92 sys=0.00, real=0.17 secs] 
296.391: [GC (Allocation Failure) [PSYoungGen: 22206863K->1075642K(22609920K)] 22311795K->1180574K(25755648K), 0.1624899 secs] [Times: user=5.76 sys=0.00, real=0.16 secs] 
299.444: [GC (Allocation Failure) [PSYoungGen: 22178234K->1107824K(22609920K)] 22283166K->1212757K(25755648K), 0.1678536 secs] [Times: user=5.89 sys=0.00, real=0.17 secs] 
302.504: [GC (Allocation Failure) [PSYoungGen: 22210416K->1131138K(22609920K)] 22315349K->1236071K(25755648K), 0.1725812 secs] [Times: user=5.99 sys=0.00, real=0.17 secs] 
305.507: [GC (Allocation Failure) [PSYoungGen: 22233730K->1146906K(22609920K)] 22338663K->1251839K(25755648K), 0.1734631 secs] [Times: user=6.13 sys=0.00, real=0.18 secs] 
308.582: [GC (Allocation Failure) [PSYoungGen: 22249498K->826261K(22609920K)] 22354431K->1260013K(25755648K), 0.1834595 secs] [Times: user=6.50 sys=0.00, real=0.18 secs] 
311.681: [GC (Allocation Failure) [PSYoungGen: 21928853K->782960K(22609920K)] 22362605K->1227419K(25755648K), 0.1358604 secs] [Times: user=4.79 sys=0.01, real=0.13 secs] 
314.713: [GC (Allocation Failure) [PSYoungGen: 21885552K->805544K(22609920K)] 22330011K->1253708K(25755648K), 0.1410671 secs] [Times: user=4.99 sys=0.00, real=0.14 secs] 
317.798: [GC (Allocation Failure) [PSYoungGen: 21908136K->743168K(22609920K)] 22356300K->1194037K(25755648K), 0.1301298 secs] [Times: user=4.60 sys=0.01, real=0.13 secs] 
320.805: [GC (Allocation Failure) [PSYoungGen: 21845760K->749455K(22609920K)] 22296629K->1201540K(25755648K), 0.1320081 secs] [Times: user=4.67 sys=0.00, real=0.13 secs] 
323.822: [GC (Allocation Failure) [PSYoungGen: 21852047K->790270K(22609920K)] 22304132K->1245659K(25755648K), 0.1380875 secs] [Times: user=4.88 sys=0.00, real=0.14 secs] 
327.282: [GC (Allocation Failure) [PSYoungGen: 21892862K->696825K(22609920K)] 22348251K->1153174K(25755648K), 0.1243778 secs] [Times: user=4.38 sys=0.00, real=0.13 secs] 
327.589: [GC (System.gc()) [PSYoungGen: 1508714K->620885K(22609920K)] 1965063K->1078106K(25755648K), 0.1096312 secs] [Times: user=3.69 sys=0.00, real=0.11 secs] 
327.699: [Full GC (System.gc()) [PSYoungGen: 620885K->0K(22609920K)] [ParOldGen: 457220K->126111K(3145728K)] 1078106K->126111K(25755648K), [Metaspace: 22245K->22241K(1069056K)], 0.1541649 secs] [Times: user=3.89 sys=0.07, real=0.16 secs] 
346.999: [GC (Allocation Failure) [PSYoungGen: 21102592K->919988K(22609920K)] 21228703K->1046100K(25755648K), 0.1474120 secs] [Times: user=5.17 sys=0.01, real=0.15 secs] 
354.033: [GC (Allocation Failure) [PSYoungGen: 22022580K->952526K(22609920K)] 22148692K->1078646K(25755648K), 0.1467406 secs] [Times: user=5.18 sys=0.00, real=0.15 secs] 
359.407: [GC (Allocation Failure) [PSYoungGen: 22055118K->960092K(22609920K)] 22181238K->1086211K(25755648K), 0.1440836 secs] [Times: user=5.10 sys=0.00, real=0.15 secs] 
363.759: [GC (Allocation Failure) [PSYoungGen: 22062684K->959908K(22609920K)] 22188803K->1086027K(25755648K), 0.1446563 secs] [Times: user=5.10 sys=0.00, real=0.14 secs] 
367.714: [GC (Allocation Failure) [PSYoungGen: 22062500K->995517K(22609920K)] 22188619K->1121637K(25755648K), 0.1494688 secs] [Times: user=5.29 sys=0.00, real=0.15 secs] 
