Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
324.033: [GC (Allocation Failure) [PSYoungGen: 21753845K->689925K(22609920K)] 22209252K->1146404K(25755648K), 0.1201568 secs] [Times: user=4.25 sys=0.01, real=0.12 secs] 
327.534: [GC (System.gc()) [PSYoungGen: 21617012K->678620K(22609920K)] 22073491K->1135971K(25755648K), 0.1258534 secs] [Times: user=4.40 sys=0.00, real=0.13 secs] 
327.660: [Full GC (System.gc()) [PSYoungGen: 678620K->0K(22609920K)] [ParOldGen: 457350K->128633K(3145728K)] 1135971K->128633K(25755648K), [Metaspace: 22214K->22210K(1069056K)], 0.1376726 secs] [Times: user=3.39 sys=0.07, real=0.14 secs] 
347.188: [GC (Allocation Failure) [PSYoungGen: 21102592K->927235K(22609920K)] 21231225K->1055876K(25755648K), 0.1491582 secs] [Times: user=5.17 sys=0.00, real=0.15 secs] 
354.156: [GC (Allocation Failure) [PSYoungGen: 22029827K->923993K(22609920K)] 22158468K->1052643K(25755648K), 0.1423853 secs] [Times: user=5.00 sys=0.00, real=0.14 secs] 
359.352: [GC (Allocation Failure) [PSYoungGen: 22026585K->979659K(22609920K)] 22155235K->1108308K(25755648K), 0.1463786 secs] [Times: user=5.13 sys=0.01, real=0.15 secs] 
363.865: [GC (Allocation Failure) [PSYoungGen: 22082251K->939793K(22609920K)] 22210900K->1068442K(25755648K), 0.1452520 secs] [Times: user=5.00 sys=0.01, real=0.14 secs] 
367.807: [GC (Allocation Failure) [PSYoungGen: 22042385K->947206K(22609920K)] 22171034K->1075855K(25755648K), 0.1433824 secs] [Times: user=5.05 sys=0.00, real=0.14 secs] 
371.665: [GC (Allocation Failure) [PSYoungGen: 22049798K->987402K(22609920K)] 22178447K->1116051K(25755648K), 0.1477608 secs] [Times: user=5.21 sys=0.00, real=0.14 secs] 
375.026: [GC (Allocation Failure) [PSYoungGen: 22089994K->987372K(22609920K)] 22218643K->1116022K(25755648K), 0.1490557 secs] [Times: user=5.22 sys=0.00, real=0.15 secs] 
378.359: [GC (Allocation Failure) [PSYoungGen: 22089964K->1013710K(22609920K)] 22218614K->1142359K(25755648K), 0.1520738 secs] [Times: user=5.34 sys=0.00, real=0.15 secs] 
381.463: [GC (Allocation Failure) [PSYoungGen: 22116302K->1115634K(22609920K)] 22244951K->1244283K(25755648K), 0.1694327 secs] [Times: user=5.92 sys=0.00, real=0.17 secs] 
384.687: [GC (Allocation Failure) [PSYoungGen: 22218226K->1121268K(22609920K)] 22346875K->1249917K(25755648K), 0.1743412 secs] [Times: user=5.98 sys=0.00, real=0.17 secs] 
387.933: [GC (Allocation Failure) [PSYoungGen: 22223860K->1089332K(22609920K)] 22352509K->1217981K(25755648K), 0.1629538 secs] [Times: user=5.76 sys=0.00, real=0.16 secs] 
391.088: [GC (Allocation Failure) [PSYoungGen: 22191924K->1084269K(22609920K)] 22320573K->1212918K(25755648K), 0.1628295 secs] [Times: user=5.73 sys=0.01, real=0.16 secs] 
394.178: [GC (Allocation Failure) [PSYoungGen: 22186861K->1067447K(22609920K)] 22315510K->1196097K(25755648K), 0.1606976 secs] [Times: user=5.67 sys=0.00, real=0.16 secs] 
397.281: [GC (Allocation Failure) [PSYoungGen: 22170039K->1042260K(22609920K)] 22298689K->1170909K(25755648K), 0.1566550 secs] [Times: user=5.47 sys=0.00, real=0.15 secs] 
400.405: [GC (Allocation Failure) [PSYoungGen: 22144852K->1052969K(22609920K)] 22273501K->1181619K(25755648K), 0.1572757 secs] [Times: user=5.55 sys=0.01, real=0.16 secs] 
403.514: [GC (Allocation Failure) [PSYoungGen: 22155561K->721645K(22609920K)] 22284211K->1183363K(25755648K), 0.1629227 secs] [Times: user=5.76 sys=0.01, real=0.16 secs] 
406.574: [GC (Allocation Failure) [PSYoungGen: 21824237K->702762K(22609920K)] 22285955K->1172633K(25755648K), 0.1220704 secs] [Times: user=4.31 sys=0.00, real=0.12 secs] 
409.638: [GC (Allocation Failure) [PSYoungGen: 21805354K->672613K(22609920K)] 22275225K->1144572K(25755648K), 0.1201116 secs] [Times: user=4.24 sys=0.00, real=0.12 secs] 
412.730: [GC (Allocation Failure) [PSYoungGen: 21775205K->634437K(22609920K)] 22247164K->1107836K(25755648K), 0.1132651 secs] [Times: user=3.99 sys=0.00, real=0.12 secs] 
415.768: [GC (Allocation Failure) [PSYoungGen: 21737029K->666053K(22609920K)] 22210428K->1142980K(25755648K), 0.1193396 secs] [Times: user=4.21 sys=0.00, real=0.12 secs] 
418.816: [GC (Allocation Failure) [PSYoungGen: 21768645K->668677K(22609920K)] 22245572K->1146780K(25755648K), 0.1191162 secs] [Times: user=4.21 sys=0.00, real=0.12 secs] 
421.765: [GC (Allocation Failure) [PSYoungGen: 21771269K->670073K(22609920K)] 22249372K->1149240K(25755648K), 0.1258088 secs] [Times: user=4.17 sys=0.00, real=0.12 secs] 
432.494: [GC (System.gc()) [PSYoungGen: 12226531K->852553K(22609920K)] 12705699K->1332736K(25755648K), 0.1288634 secs] [Times: user=4.55 sys=0.01, real=0.12 secs] 
432.623: [Full GC (System.gc()) [PSYoungGen: 852553K->0K(22609920K)] [ParOldGen: 480183K->233809K(3145728K)] 1332736K->233809K(25755648K), [Metaspace: 22280K->22280K(1069056K)], 0.0955731 secs] [Times: user=1.74 sys=0.04, real=0.10 secs] 
453.320: [GC (Allocation Failure) [PSYoungGen: 21102592K->950679K(22609920K)] 21336401K->1184496K(25755648K), 0.1574600 secs] [Times: user=5.36 sys=0.00, real=0.16 secs] 
460.230: [GC (Allocation Failure) [PSYoungGen: 22053271K->963928K(22609920K)] 22287088K->1197745K(25755648K), 0.1444271 secs] [Times: user=5.09 sys=0.00, real=0.14 secs] 
465.431: [GC (Allocation Failure) [PSYoungGen: 22066520K->975046K(22609920K)] 22300337K->1208864K(25755648K), 0.1459275 secs] [Times: user=5.14 sys=0.00, real=0.14 secs] 
470.116: [GC (Allocation Failure) [PSYoungGen: 22077638K->1015168K(22609920K)] 22311456K->1248986K(25755648K), 0.1545709 secs] [Times: user=5.45 sys=0.01, real=0.16 secs] 
474.276: [GC (Allocation Failure) [PSYoungGen: 22117760K->1019683K(22609920K)] 22351578K->1253501K(25755648K), 0.1525612 secs] [Times: user=5.36 sys=0.01, real=0.15 secs] 
478.062: [GC (Allocation Failure) [PSYoungGen: 22122275K->1029274K(22609920K)] 22356093K->1263091K(25755648K), 0.1535466 secs] [Times: user=5.42 sys=0.00, real=0.15 secs] 
481.446: [GC (Allocation Failure) [PSYoungGen: 22131866K->1080146K(22609920K)] 22365683K->1313963K(25755648K), 0.1625375 secs] [Times: user=5.75 sys=0.00, real=0.16 secs] 
484.619: [GC (Allocation Failure) [PSYoungGen: 22182738K->1091770K(22609920K)] 22416555K->1325587K(25755648K), 0.1663476 secs] [Times: user=5.81 sys=0.00, real=0.17 secs] 
487.782: [GC (Allocation Failure) [PSYoungGen: 22194362K->1043873K(22609920K)] 22428179K->1277690K(25755648K), 0.1568035 secs] [Times: user=5.54 sys=0.00, real=0.15 secs] 
490.916: [GC (Allocation Failure) [PSYoungGen: 22146465K->1117057K(22609920K)] 22380282K->1350874K(25755648K), 0.1706019 secs] [Times: user=6.04 sys=0.00, real=0.17 secs] 
493.979: [GC (Allocation Failure) [PSYoungGen: 22219649K->1076273K(22609920K)] 22453466K->1310090K(25755648K), 0.1620438 secs] [Times: user=5.70 sys=0.00, real=0.16 secs] 
497.084: [GC (Allocation Failure) [PSYoungGen: 22178865K->1093112K(22609920K)] 22412682K->1326929K(25755648K), 0.1653326 secs] [Times: user=5.79 sys=0.00, real=0.16 secs] 
500.242: [GC (Allocation Failure) [PSYoungGen: 22195704K->1073411K(22609920K)] 22429521K->1307229K(25755648K), 0.1616262 secs] [Times: user=5.71 sys=0.00, real=0.17 secs] 
503.379: [GC (Allocation Failure) [PSYoungGen: 22176003K->1135439K(22609920K)] 22409821K->1369257K(25755648K), 0.1723901 secs] [Times: user=6.09 sys=0.01, real=0.17 secs] 
506.543: [GC (Allocation Failure) [PSYoungGen: 22238031K->1139991K(22609920K)] 22471849K->1373808K(25755648K), 0.1727954 secs] [Times: user=6.11 sys=0.00, real=0.18 secs] 
509.740: [GC (Allocation Failure) [PSYoungGen: 22242583K->704734K(22609920K)] 22476400K->1296606K(25755648K), 0.1634270 secs] [Times: user=5.78 sys=0.00, real=0.16 secs] 
512.808: [GC (Allocation Failure) [PSYoungGen: 21807326K->747380K(22609920K)] 22399198K->1340980K(25755648K), 0.1307503 secs] [Times: user=4.63 sys=0.00, real=0.13 secs] 
515.829: [GC (Allocation Failure) [PSYoungGen: 21849972K->719560K(22609920K)] 22443572K->1314280K(25755648K), 0.1291284 secs] [Times: user=4.46 sys=0.00, real=0.13 secs] 
518.828: [GC (Allocation Failure) [PSYoungGen: 21822152K->758165K(22609920K)] 22416872K->1353854K(25755648K), 0.1344941 secs] [Times: user=4.72 sys=0.01, real=0.13 secs] 
521.897: [GC (Allocation Failure) [PSYoungGen: 21860757K->780003K(22609920K)] 22456446K->1377355K(25755648K), 0.1374874 secs] [Times: user=4.83 sys=0.01, real=0.13 secs] 
524.989: [GC (Allocation Failure) [PSYoungGen: 21882595K->737812K(22609920K)] 22479947K->1336156K(25755648K), 0.1302361 secs] [Times: user=4.59 sys=0.01, real=0.13 secs] 
528.019: [GC (Allocation Failure) [PSYoungGen: 21840404K->805158K(22609920K)] 22438748K->1404270K(25755648K), 0.1435139 secs] [Times: user=4.98 sys=0.01, real=0.14 secs] 
531.137: [GC (Allocation Failure) [PSYoungGen: 21907750K->737902K(22609920K)] 22506862K->1337847K(25755648K), 0.1310597 secs] [Times: user=4.63 sys=0.00, real=0.13 secs] 
534.286: [GC (Allocation Failure) [PSYoungGen: 21840494K->766208K(22609920K)] 22440439K->1366945K(25755648K), 0.1375609 secs] [Times: user=4.80 sys=0.00, real=0.14 secs] 
537.382: [GC (Allocation Failure) [PSYoungGen: 21868566K->774387K(22609920K)] 22469302K->1376045K(25755648K), 0.1362618 secs] [Times: user=4.82 sys=0.00, real=0.13 secs] 
540.422: [GC (Allocation Failure) [PSYoungGen: 21876979K->755965K(22609920K)] 22478637K->1358334K(25755648K), 0.1340733 secs] [Times: user=4.75 sys=0.00, real=0.13 secs] 
543.481: [GC (Allocation Failure) [PSYoungGen: 21858557K->802677K(22609920K)] 22460926K->1405822K(25755648K), 0.1438448 secs] [Times: user=4.95 sys=0.00, real=0.14 secs] 
546.546: [GC (Allocation Failure) [PSYoungGen: 21905269K->739695K(22609920K)] 22508414K->1343568K(25755648K), 0.1330176 secs] [Times: user=4.68 sys=0.00, real=0.13 secs] 
549.624: [GC (Allocation Failure) [PSYoungGen: 21842287K->718716K(22609920K)] 22446160K->1323421K(25755648K), 0.1289394 secs] [Times: user=4.55 sys=0.00, real=0.13 secs] 
552.670: [GC (Allocation Failure) [PSYoungGen: 21821308K->703808K(22609920K)] 22426013K->1309338K(25755648K), 0.1262665 secs] [Times: user=4.47 sys=0.00, real=0.13 secs] 
555.780: [GC (Allocation Failure) [PSYoungGen: 21806400K->743649K(22609920K)] 22411930K->1350226K(25755648K), 0.1331936 secs] [Times: user=4.72 sys=0.00, real=0.14 secs] 
558.838: [GC (Allocation Failure) [PSYoungGen: 21846241K->793705K(22609920K)] 22452818K->1401338K(25755648K), 0.1409085 secs] [Times: user=5.00 sys=0.00, real=0.14 secs] 
561.947: [GC (Allocation Failure) [PSYoungGen: 21896297K->730741K(22609920K)] 22503930K->1339446K(25755648K), 0.1305693 secs] [Times: user=4.62 sys=0.00, real=0.13 secs] 
