Request Mix Accuracy
===================================
Domain Marker;max-jOPS;81875.0
Domain Marker;critical-jOPS;18129.0
Domain Marker;Validation Start jOPS;9864.5
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
986.0;-8.391373667890889E-4;-0.02978937652093805;0.03104808257111813;0.004053033481580939;-0.0031048082571116797;0.003419484769656811;-0.004783082990685528;-4.195686833519119E-6
1973.0;0.005451328027369584;-0.0016353984082115858;-0.01400571970109965;0.0023172337445591523;-3.1030636463513783E-4;-0.002593574142254529;0.0022056911864605233;0.008570745657807688
2959.0;0.01732830998669499;-0.014701114601614051;-4.471821932057196E-4;-0.0010609397533790227;-0.001106775928182424;-0.00125490502968173;-0.00222473141119528;0.0034673389305637237
3946.0;0.0010476601558053744;2.304852342760455E-4;0.0018019754679894362;1.5631089524655029E-4;3.059167654959616E-4;6.003092692779544E-4;-0.0017894035461201163;-0.002353254241975744
4932.0;0.002847618888090153;-0.0054439772860561675;0.0058627447695940305;-0.0011708738839846522;-0.002328347208496062;0.0012604901254626988;-0.004673445116333497;0.0036457897117205817
5919.0;-0.011018530658013503;0.01382197959758713;0.0023152861888995346;-6.93749006240113E-4;5.941638051030207E-4;-3.396217993958117E-4;-8.005869111014086E-4;-0.0038789412168362958
6905.0;-0.008988688634218533;0.003871128571809379;0.0021333154358558204;9.130110668734287E-4;-0.001176918965174245;5.3932131805489725E-6;0.001459763034197925;0.001782996277484461
7892.0;0.03272059131981564;-0.019800152696092255;-0.011200510105627615;-1.602469985149818E-4;2.852564371471633E-4;8.578667852438548E-4;-5.53733083873853E-4;-0.002149071658095192
8878.0;-0.009315288997527205;0.008905416281635326;0.0012668793036638704;0.0011640385131308356;-0.0015873252451784614;-0.00128178376605953;6.483441142277613E-4;1.9971979610700075E-4
9864.0;-0.002180900678425246;-0.005770998718304554;0.003120365586058327;-0.0011884231081525504;0.0015366961703384696;-0.0012095610685741998;0.0018722193516349517;0.003820602465424372
