Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;21221.0
Domain Marker;max-jOPS;84017.0
Domain Marker;Last Success for SLAs;26033.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
1183;95.21918298608578
2367;96.84684761308023
3550;97.25686782481387
4733;97.86281421925312
5917;98.01182399397229
7100;97.97274223721887
8283;98.29223874986717
9467;98.36296907688195
10650;98.3755441081782
11833;98.48923065635539
13017;98.4321584192286
14200;98.50961440377452
15383;98.7549018077521
16567;98.58072584772019
17750;98.67343716315096
18933;98.66724406629295
20117;94.5226207418238
21300;89.505860993337
22483;84.95323273524991
23667;80.6699331274363
24850;76.79461652488688
26033;73.14616143522836
27217;70.06070385952557
28400;67.04956481080377
29583;64.85384790626952
30767;61.6065315901725
31950;59.32983440024353
33134;56.79134028468264
34317;54.976492847461046
35500;53.37453658942134
36684;51.365048944498355
37867;49.786645926206454
39050;48.123611251097
40234;46.277272202319146
41417;44.43487941507252
42600;42.3155067686118
43784;42.32906249231025
44967;40.3616588132767
46150;37.856558360942145
47334;35.61130282426088
48517;37.28796481757967
49700;34.13462183252162
50884;32.8572308647546
52067;31.90930736481254
53250;30.01931317387036
54434;29.671770674055367
55617;27.676558542398922
56800;26.676612340680705
57984;25.325023677580067
59167;24.60279067449675
60350;20.982852926762977
61534;19.474883545764566
62717;20.86299835829157
63900;19.92271689337609
65084;20.22848060628181
66267;17.2450705181309
67450;16.64536645681547
68634;15.143920883007581
69817;14.536579649063258
71000;14.766767580360172
72184;13.809084713350568
73367;12.940492332582009
74550;12.528014241090352
75734;12.022953906854951
76917;12.597907874158166
78100;11.677894203095212
79284;10.662422022314194
80467;10.826872209886469
81650;10.027575353914358
82834;9.179493658205896
84017;3.2909954223310223
85200;0.0018508794549056701
86384;7.568411919262738E-4
87567;3.621545250673822E-4
88750;3.4448263343800584E-4
