IR/PR Accuracy
===================================
Domain Marker;HIGH_BOUND_IR;1.0
Domain Marker;WARMUP;90.0
Domain Marker;RT_CURVE;91.0
Domain Marker;max-jOPS;162.0
Domain Marker;VALIDATION;169.0
Domain Marker;PROFILE;183.0
Iteration;Actual IR;Actual PR;Low Bound;High Bound
1.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
2.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
3.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
4.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
5.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
6.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
7.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
8.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
9.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
10.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
11.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
12.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
15.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
16.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
17.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
18.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
19.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
20.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
21.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
22.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
23.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
24.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
25.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
26.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
27.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
28.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
29.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
30.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
31.0;0.0;-0.03943857656362906;-0.05000000074505806;0.05000000074505806
32.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
33.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
34.0;0.01928626839097746;0.0;-0.05000000074505806;0.05000000074505806
35.0;0.0;-0.018153103279617548;-0.05000000074505806;0.05000000074505806
36.0;0.0;-0.0154239195847467;-0.05000000074505806;0.05000000074505806
37.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
38.0;0.0;-0.022182730943535338;-0.05000000074505806;0.05000000074505806
39.0;0.008931540920696566;-0.01216677551125279;-0.05000000074505806;0.05000000074505806
40.0;0.0;-0.010044575340103279;-0.05000000074505806;0.05000000074505806
41.0;-0.006594002997681202;-0.008390731418277418;-0.05000000074505806;0.05000000074505806
42.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
43.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
44.0;0.006374553713069448;0.006450712099956542;-0.05000000074505806;0.05000000074505806
45.0;-0.005625032720672483;-0.005623120154835542;-0.05000000074505806;0.05000000074505806
46.0;0.004848429625288821;0.004838785135604288;-0.05000000074505806;0.05000000074505806
47.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
48.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
49.0;-0.002813055812244687;-0.0020461362786842584;-0.05000000074505806;0.05000000074505806
50.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
51.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
52.0;0.005734453266949295;0.0057096239201575565;-0.05000000074505806;0.05000000074505806
53.0;9.287342531263206E-4;-0.0010406728901581144;-0.05000000074505806;0.05000000074505806
54.0;0.010663028250665639;0.010631463090027536;-0.05000000074505806;0.05000000074505806
55.0;0.026179246453457008;0.018038661705401266;-0.05000000074505806;0.05000000074505806
56.0;0.013988137102914366;0.035585555032875554;-0.05000000074505806;0.05000000074505806
57.0;0.009735773355582967;0.001919135349244706;-0.05000000074505806;0.05000000074505806
58.0;-0.01622173689215737;-0.017582404828137096;-0.05000000074505806;0.05000000074505806
59.0;0.01899655403946026;0.007923885159303494;-0.05000000074505806;0.05000000074505806
60.0;-0.045067431980602514;-0.019960300295168192;-0.05000000074505806;0.05000000074505806
61.0;-0.00983577730474522;-0.18603947510910263;-0.05000000074505806;0.05000000074505806
63.0;0.0;0.0;-0.05000000074505806;0.05000000074505806
64.0;-0.004002691605935374;-0.02489869976886906;-0.05000000074505806;0.05000000074505806
65.0;0.006418871541445347;0.002473180150287214;-0.05000000074505806;0.05000000074505806
66.0;-0.005214913139402422;-0.00536656552392765;-0.05000000074505806;0.05000000074505806
